# UV luminosity functions at z=2-9
# Source: Bouwens et al. (2021) ; AJ ; 162 ; 47
# DOI: 10.3847/1538-3881/abf83e
# Columns: redshift | MUV [mag] | phi [Mpc^-3 mag^-1] | err_phi_low | err_phi_up
redshift,MUV,phi,err_phi_low,err_phi_up
2,-21.86,0.000003,8e-06,8e-06
2,-21.11,0.000270,8.9e-05,8.9e-05
2,-20.61,0.000661,0.000154,0.000154
2,-20.11,0.001797,0.002231,0.002231
2,-19.61,0.003031,0.000301,0.000301
2,-19.11,0.004661,0.000353,0.000353
2,-18.61,0.005855,0.000437,0.000437
2,-18.11,0.007765,0.000617,0.000617
2,-17.61,0.011541,0.000835,0.000835
2,-17.11,0.010795,0.002006,0.002006
2,-16.61,0.015992,0.003437,0.003437
3,-22.52,0.000006,5e-06,5e-06
3,-21.77,0.000076,3.8e-05,3.8e-05
3,-21.27,0.000402,7.8e-05,7.8e-05
3,-20.77,0.000769,0.000117,0.000117
3,-20.27,0.001607,0.000157,0.000157
3,-19.77,0.002205,0.000189,0.000189
3,-19.27,0.003521,0.000239,0.000239
3,-18.77,0.004557,0.000297,0.000297
3,-18.27,0.006258,0.000437,0.000437
3,-17.77,0.011417,0.000656,0.000656
3,-17.27,0.010281,0.001368,0.001368
4,-22.69,0.000005,4e-06,4e-06
4,-22.19,0.000015,9e-06,9e-06
4,-21.69,0.000144,2.2e-05,2.2e-05
4,-21.19,0.000344,3.8e-05,3.8e-05
4,-20.69,0.000698,6.8e-05,6.8e-05
4,-20.19,0.001624,0.000131,0.000131
4,-19.69,0.002276,0.000199,0.000199
4,-19.19,0.003056,0.000388,0.000388
4,-18.69,0.004371,0.000689,0.000689
4,-17.94,0.010160,0.00092,0.00092
4,-16.94,0.027420,0.00344,0.00344
4,-15.94,0.028820,0.00874,0.00874
5,-23.11,0.000001,1e-06,1e-06
5,-22.61,0.000004,2e-06,2e-06
5,-22.11,0.000028,7e-06,7e-06
5,-21.61,0.000092,1.3e-05,1.3e-05
5,-21.11,0.000262,2.4e-05,2.4e-05
5,-20.61,0.000584,4.4e-05,4.4e-05
5,-20.11,0.000879,6.7e-05,6.7e-05
5,-19.61,0.001594,0.000156,0.000156
5,-19.11,0.002159,0.000346,0.000346
5,-18.36,0.004620,0.00052,0.00052
5,-17.36,0.008780,0.00154,0.00154
5,-16.36,0.025120,0.00734,0.00734
6,-22.52,0.000002,2e-06,2e-06
6,-22.02,0.000014,5e-06,5e-06
6,-21.52,0.000051,1.1e-05,1.1e-05
6,-21.02,0.000169,2.4e-05,2.4e-05
6,-20.52,0.000317,4.1e-05,4.1e-05
6,-20.02,0.000724,8.7e-05,8.7e-05
6,-19.52,0.001147,0.000157,0.000157
6,-18.77,0.002820,0.00044,0.00044
6,-17.77,0.008360,0.00166,0.00166
6,-16.77,0.017100,0.00526,0.00526
7,-22.19,0.000001,2e-06,2e-06
7,-21.69,0.000041,1.1e-05,1.1e-05
7,-21.19,0.000047,1.5e-05,1.5e-05
7,-20.69,0.000198,3.6e-05,3.6e-05
7,-20.19,0.000283,6.6e-05,6.6e-05
7,-19.69,0.000589,0.000126,0.000126
7,-19.19,0.001172,0.000336,0.000336
7,-18.69,0.001433,0.000419,0.000419
7,-17.94,0.005760,0.00144,0.00144
7,-16.94,0.008320,0.0029,0.0029
8,-21.85,0.000003,2e-06,2e-06
8,-21.35,0.000012,4e-06,4e-06
8,-20.85,0.000041,1.1e-05,1.1e-05
8,-20.1,0.000120,4e-05,4e-05
8,-19.35,0.000657,0.000233,0.000233
8,-18.6,0.001100,0.00034,0.00034
8,-17.6,0.003020,0.00114,0.00114
9,-21.92,0.000001,1e-06,1e-06
9,-21.12,0.000007,3e-06,3e-06
9,-20.32,0.000026,9e-06,9e-06
9,-19.12,0.000187,0.00015,0.00015
9,-17.92,0.000923,0.000501,0.000501
10,-22.25,<0.000002,0.0,2e-06
10,-21.25,0.000001,1e-06,1e-06
10,-20.25,0.000010,5e-06,5e-06
10,-19.25,0.000034,2.2e-05,2.2e-05
10,-18.25,0.000190,0.00012,0.00012
10,-17.25,0.000630,0.00052,0.00052
