#  Extinction, Scattering, and Absorption Properties Computed for
#   Carbonaceous - Silicate Model for Interstellar Dust with R_V=3.1
#
#Model consists of mixture of carbonaceous grains and amorphous
#silicate grains.  Carbonaceous grains are PAH-like when small, and
#graphite-like when large (see Li & Draine 2001).  Size distributions
#from Weingartner & Draine (2001, hereafter WD01) "case A" model for
#R_V=3.1, renormalized following Draine (2003a) [see below].
#
#PAH optical properties are from Li & Draine (2001).  The PAH/graphitic
#grains in the log-normal size distributions are assumed to be 50%
#neutral and 50% ionized.  The PAH/graphitic grains in the size
#distribution given by eq. (5,6) of Weingartner & Draine (2001) are
#assumed to be 100% ionized.
#
#Graphite and silicate optical properties from Draine (2003b).
#
#For R_V=3.1: THIS MODEL
#	     grain abundances relative to H have been reduced by a
#             factor 0.93 relative to the R_V=3.1 size distribution with
#	     [C/H]_PAH=60ppm in WD01.
#             Factor 0.93 is due to reduction in adopted value for
#             A_Ic/N_H in local ISM.
#	     PAH C abundance relative to H is assumed to be
#             [C/H]_PAH = 0.93*60ppm = 55.8ppm
#
#For R_V=4.0: grain abundances relative to H have been increased by a
#             factor 0.93*1.27=1.18 relative to the R_V=4.0 size
#             distribution with [C/H]_PAH=40ppm in WD01
#             Factor 0.93 is due to reduction in adopted value for
#             A_Ic/N_H in local ISM.
#             Factor 1.27 is the increase in A_Ic/N_H for R_V=4.0
#             relative to A_Ic/N_H for R_V=3.1, based on eq.(5) of
#             Draine (2003a).
#             PAH C abundance relative to H is assumed to be
#             [C/H]_PAH = 0.93*1.27*40ppm = 47.2ppm
#
#For R_V=5.5: grain abundances relative to H have been increased by a
#             factor 0.93*1.52=1.42 relative to the R_V=5.5 size
#             distribution with [C/H]_PAH=30ppm in WD01.
#             Factor 0.93 is due to reduction in adopted value for
#             A_Ic/N_H in local ISM.
#             Factor 1.52 is the increase in A_Ic/N_H for R_V=5.5
#             relative to A_Ic/N_H for R_V=3.1, based on eq.(5) of
#             Draine (2003a).
#             PAH C abundance relative to H is assumed to be
#	     [C/H]_PAH = 0.93*1.52*30ppm = 42.4ppm
#
#References:
#
#Draine, B.T. 2003a, "Interstellar Dust Grains", Annu. Rev. Astr. Astrophys.,
#    41, 241-289
#Draine, B.T. 2003b, "Scattering by Interstellar Dust Grains. I. Optical
#    and Ultraviolet", Astrophys. J., 598, 1017-1025
#Draine, B.T. 2003c, "Scattering by Interstellar Dust Grains. II. X-Rays",
#    Astrophys. J., 598, 1026-1037
#Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust.
#    II. The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
#Weingartner, J.C., & Draine, B.T. 2001, Dust Grain Size Distributions and
#    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548,
#    296-309 (WD01).
#
#This table was calculated by B.T. Draine, Princeton University,
#Sun Oct  4 08:43:51 EDT 2009
#
#
#Tabulated quantities:
#lambda  = wavelength in vacuo (micron)
#albedo  = (scattering cross section)/(extinction cross section)
#<cos>   = <cos(theta)> for scattered light
#C_ext/H = extinction cross section per H nucleon (cm^2/H)
#K_abs   = absorption cross section per mass of dust (cm^2/gram)
#<cos^2> = <cos^(theta)> for scattered light
#
#1.398E-26 = M_dust per H nucleon (gram/H) for this dust model
#1.653E+02 = M_gas/M_dust for this dust model (assuming He/H=0.096)
#
# (micron)                   (cm^2/H)  (cm^2/g)          comment
#----------- ------  ------ --------- --------- ------- --------
lambda,albedo,<cos>,C_ext/H,K_abs,<cos^2>
1.000e+04,0.000e+00,0.000e+00,1.290e-28,9.250e-03,4.000e-01
9.770e+03,0.000e+00,0.000e+00,1.350e-28,9.620e-03,4.000e-01
9.550e+03,0.000e+00,0.000e+00,1.400e-28,1.000e-02,4.000e-01
9.330e+03,0.000e+00,0.000e+00,1.460e-28,1.040e-02,4.000e-01
9.120e+03,0.000e+00,0.000e+00,1.510e-28,1.080e-02,4.000e-01
8.910e+03,0.000e+00,0.000e+00,1.570e-28,1.130e-02,4.000e-01
8.710e+03,0.000e+00,0.000e+00,1.640e-28,1.170e-02,4.000e-01
8.510e+03,0.000e+00,0.000e+00,1.700e-28,1.220e-02,4.000e-01
8.320e+03,0.000e+00,0.000e+00,1.770e-28,1.270e-02,4.000e-01
8.130e+03,0.000e+00,0.000e+00,1.840e-28,1.320e-02,4.000e-01
7.940e+03,0.000e+00,0.000e+00,1.910e-28,1.370e-02,4.000e-01
7.760e+03,0.000e+00,0.000e+00,1.990e-28,1.420e-02,4.000e-01
7.590e+03,0.000e+00,0.000e+00,2.070e-28,1.480e-02,4.000e-01
7.410e+03,0.000e+00,0.000e+00,2.150e-28,1.540e-02,4.000e-01
7.240e+03,0.000e+00,0.000e+00,2.230e-28,1.600e-02,4.000e-01
7.080e+03,0.000e+00,0.000e+00,2.320e-28,1.660e-02,4.000e-01
6.920e+03,0.000e+00,0.000e+00,2.410e-28,1.730e-02,4.000e-01
6.760e+03,0.000e+00,0.000e+00,2.510e-28,1.790e-02,4.000e-01
6.610e+03,0.000e+00,0.000e+00,2.610e-28,1.860e-02,4.000e-01
6.460e+03,0.000e+00,0.000e+00,2.710e-28,1.940e-02,4.000e-01
6.310e+03,0.000e+00,0.000e+00,2.820e-28,2.020e-02,4.000e-01
6.170e+03,0.000e+00,0.000e+00,2.930e-28,2.090e-02,4.000e-01
6.030e+03,0.000e+00,0.000e+00,3.040e-28,2.180e-02,4.000e-01
5.890e+03,0.000e+00,0.000e+00,3.170e-28,2.260e-02,4.000e-01
5.750e+03,0.000e+00,0.000e+00,3.290e-28,2.350e-02,4.000e-01
5.620e+03,0.000e+00,0.000e+00,3.420e-28,2.450e-02,4.000e-01
5.500e+03,0.000e+00,0.000e+00,3.560e-28,2.540e-02,4.000e-01
5.370e+03,0.000e+00,0.000e+00,3.700e-28,2.640e-02,4.000e-01
5.250e+03,0.000e+00,0.000e+00,3.840e-28,2.750e-02,4.000e-01
5.130e+03,0.000e+00,0.000e+00,4.000e-28,2.860e-02,4.000e-01
5.010e+03,0.000e+00,0.000e+00,4.150e-28,2.970e-02,4.000e-01
4.900e+03,0.000e+00,0.000e+00,4.320e-28,3.090e-02,4.000e-01
4.790e+03,0.000e+00,0.000e+00,4.490e-28,3.210e-02,4.000e-01
4.680e+03,0.000e+00,0.000e+00,4.670e-28,3.340e-02,4.000e-01
4.570e+03,0.000e+00,0.000e+00,4.850e-28,3.470e-02,4.000e-01
4.470e+03,0.000e+00,0.000e+00,5.040e-28,3.610e-02,4.000e-01
4.370e+03,0.000e+00,0.000e+00,5.240e-28,3.750e-02,4.000e-01
4.270e+03,0.000e+00,0.000e+00,5.450e-28,3.900e-02,4.000e-01
4.170e+03,0.000e+00,0.000e+00,5.670e-28,4.050e-02,4.000e-01
4.070e+03,0.000e+00,0.000e+00,5.890e-28,4.210e-02,4.000e-01
3.980e+03,0.000e+00,0.000e+00,6.120e-28,4.380e-02,4.000e-01
3.890e+03,0.000e+00,0.000e+00,6.370e-28,4.550e-02,4.000e-01
3.800e+03,0.000e+00,0.000e+00,6.620e-28,4.730e-02,4.000e-01
3.720e+03,0.000e+00,0.000e+00,6.880e-28,4.920e-02,4.000e-01
3.630e+03,0.000e+00,0.000e+00,7.150e-28,5.110e-02,4.000e-01
3.550e+03,0.000e+00,0.000e+00,7.430e-28,5.320e-02,4.000e-01
3.470e+03,0.000e+00,0.000e+00,7.730e-28,5.530e-02,4.000e-01
3.390e+03,0.000e+00,0.000e+00,8.030e-28,5.750e-02,4.000e-01
3.310e+03,0.000e+00,0.000e+00,8.350e-28,5.970e-02,4.000e-01
3.240e+03,0.000e+00,0.000e+00,8.680e-28,6.210e-02,4.000e-01
3.160e+03,0.000e+00,0.000e+00,9.020e-28,6.450e-02,4.000e-01
3.090e+03,0.000e+00,0.000e+00,9.380e-28,6.710e-02,4.000e-01
3.020e+03,0.000e+00,0.000e+00,9.750e-28,6.970e-02,4.000e-01
2.950e+03,0.000e+00,0.000e+00,1.010e-27,7.250e-02,4.000e-01
2.880e+03,0.000e+00,0.000e+00,1.050e-27,7.530e-02,4.000e-01
2.820e+03,0.000e+00,0.000e+00,1.100e-27,7.830e-02,4.000e-01
2.750e+03,0.000e+00,0.000e+00,1.140e-27,8.140e-02,4.000e-01
2.690e+03,0.000e+00,0.000e+00,1.180e-27,8.460e-02,4.000e-01
2.630e+03,0.000e+00,0.000e+00,1.230e-27,8.800e-02,4.000e-01
2.570e+03,0.000e+00,0.000e+00,1.280e-27,9.140e-02,4.000e-01
