name, tau_v, err_tau_low, err_tau_up, redshift, re_pc, err_re_low, err_re_up, SFR, err_SFR_low, err_SFR_up, age, MUV, log_Mstar, err_logMstar_low, err_logMstar_high, IR_Flux, uplim_IRFlux, lambda_obs, betaUV_obs
CEERS27929,0.14,0.14,0.29,10.1,520,127,127,5.9,2.6,1.6,-999,-19.3,8.5,0.4,0.3,0,1,0,-999
MACS0647JD,0.01,-999,-999,10.17,70,24,24,10,3,3,8,-20.3,8.1,0.3,0.3,0,1,0,-999
UNCOVER37126,0.18,0.14,0.14,10.25,426,42,42,-999,-999,-999,-999,-20.1,8.16,0.07,0.07,0,1,0,-999
GSz10,0.05,0.02,0.03,10.38,62,-999,-999,1.1,0.16,0.19,34.7,-18.61,7.58,0.19,0.19,0,1,0,-2.49
GNz11,0.17,0.03,0.03,10.6,64,20,20,18.78,0.69,0.81,10.2,-21.5,8.73,0.06,0.06,39,1,160,-2.4
CEERS2588,0.1,0.07,0.011,11.04,477,-999,-999,10,4,4,-999,-20.3,8.99,0.22,0.22,0,1,0,-1.79
Maisie,0.07,0.005,0.09,11.44,340,14,14,2,1,1,-999,-20.1,8.4,0.4,0.4,0,1,0,-2.47
GSz110,0.18,0.06,0.06,11.58,77,8,8,2.2,0.22,0.28,224,-19.34,8.67,0.08,0.08,0,1,0,-2.18
GHZ2,0.04,0.03,0.07,12.34,105,9,9,5.2,0.6,1.1,28,-20.53,9.05,0.25,0.1,13.8,1,88,-2.4
UNCOVERz12,0.19,0.1,0.17,12.39,426,42,42,1.4,1.16,2.81,57.5,-19.2,8.35,0.18,0.14,0,1,0,-999
GSz12,0.05,0.02,0.03,12.63,144,15,15,1.8,0.43,0.54,22.9,-18.23,7.64,0.39,0.19,0,1,0,-1.84
UNCOVERz13,0.04,0.03,0.08,13.08,309,74,110,1.95,0.39,0.41,44.7,-19.4,8.13,0.11,0.11,0,1,0,-999
GSz130,0.05,0.02,0.03,13.2,52,-999,-999,1.36,0.23,0.31,69.2,-18.73,7.95,0.19,0.29,0,1,0,-2.37
GSz141,0.2,0.07,0.11,13.9,160,30,30,1.2,0.9,0.7,100,-19,8,0.3,0.4,0,1,0,-2.71
GSz140,0.13,0.02,0.02,14.18,260,2,2,4,3,9,100,-20.81,8.84,0.1,0.09,15.1,1,90,-2.2
