# UV luminosity at 1500 A for continuous SFR ; Z=0.01
# Source: Starburst99 — Leitherer et al. (1999) ; ApJS ; 123 ; 3
# DOI: 10.1086/313233
# Website: https://www.stsci.edu/science/starburst99/
# Columns: time_yr ; log_l1500 [erg/s/Hz] ; log_l1500_2 ; log_l1500_3
time_yr,log_l1500,log_l1500_2,log_l1500_3
9.9999997e-06,38.238,37.387,37.876
100000.0,38.541,37.689,38.178
200000.0,38.719,37.866,38.356
300000.0,38.847,37.993,38.482
400000.0,38.947,38.091,38.581
500000.0,39.029,38.172,38.662
600000.0,39.099,38.241,38.73
700000.0,39.16,38.301,38.79
800000.0,39.214,38.353,38.843
900000.0,39.263,38.401,38.891
1000000.0,39.307,38.444,38.934
1100000.0,39.348,38.484,38.974
1200000.0,39.386,38.52,39.011
1300000.0,39.421,38.554,39.045
1400000.0,39.454,38.586,39.077
1500000.0,39.485,38.616,39.106
1600000.0,39.514,38.644,39.133
1700000.0,39.542,38.671,39.159
1800000.0,39.568,38.696,39.184
1900000.0,39.594,38.72,39.207
2000000.0,39.619,38.744,39.23
2100000.0,39.643,38.766,39.251
2200000.0,39.666,38.787,39.272
2300000.0,39.688,38.808,39.292
2400000.0,39.71,38.828,39.312
2500000.0,39.732,38.848,39.331
2600000.0,39.753,38.867,39.348
2700000.0,39.774,38.885,39.365
2800000.0,39.795,38.903,39.382
2900000.0,39.816,38.921,39.398
3000000.0,39.837,38.939,39.414
3100000.0,39.857,38.956,39.429
3200000.0,39.878,38.973,39.444
3300000.0,39.897,38.99,39.459
3400000.0,39.915,39.005,39.473
3500000.0,39.932,39.02,39.487
3600000.0,39.947,39.035,39.5
3700000.0,39.962,39.049,39.513
3800000.0,39.976,39.063,39.525
3900000.0,39.989,39.076,39.538
4000000.0,40.001,39.089,39.55
4100000.0,40.013,39.101,39.562
4200000.0,40.023,39.112,39.574
4300000.0,40.033,39.123,39.585
4400000.0,40.042,39.134,39.597
4500000.0,40.051,39.144,39.608
4600000.0,40.059,39.154,39.619
4700000.0,40.067,39.164,39.63
4800000.0,40.075,39.174,39.641
4900000.0,40.082,39.183,39.652
5000000.0,40.089,39.192,39.662
5100000.0,40.095,39.2,39.672
5200000.0,40.101,39.208,39.683
5300000.0,40.107,39.216,39.693
5400000.0,40.113,39.224,39.703
5500000.0,40.118,39.232,39.713
5600000.0,40.124,39.239,39.722
5700000.0,40.129,39.246,39.732
5800000.0,40.134,39.254,39.742
5900000.0,40.139,39.261,39.752
6000000.0,40.144,39.267,39.762
6100000.0,40.148,39.274,39.772
6200000.0,40.153,39.281,39.781
6300000.0,40.157,39.287,39.79
6400000.0,40.161,39.293,39.8
6500000.0,40.165,39.299,39.808
6600000.0,40.169,39.305,39.818
6700000.0,40.173,39.311,39.827
6800000.0,40.177,39.317,39.836
6900000.0,40.181,39.323,39.845
7000000.0,40.185,39.328,39.854
7100000.0,40.188,39.334,39.863
7200000.0,40.192,39.339,39.872
7300000.0,40.195,39.344,39.88
7400000.0,40.198,39.35,39.888
7500000.0,40.202,39.355,39.895
7600000.0,40.205,39.36,39.903
7700000.0,40.208,39.365,39.91
7800000.0,40.211,39.37,39.917
7900000.0,40.214,39.374,39.923
8000000.0,40.217,39.379,39.93
8100000.0,40.22,39.383,39.936
8200000.0,40.222,39.388,39.942
8300000.0,40.225,39.392,39.948
8400000.0,40.228,39.397,39.953
8500000.0,40.23,39.401,39.959
8600000.0,40.233,39.405,39.964
8700000.0,40.235,39.409,39.97
8800000.0,40.238,39.413,39.975
8900000.0,40.24,39.417,39.98
9000000.0,40.242,39.421,39.984
9100000.0,40.244,39.425,39.989
9200000.0,40.247,39.429,39.994
9300000.0,40.249,39.432,39.998
9400000.0,40.251,39.436,40.003
9500000.0,40.253,39.44,40.007
9600000.0,40.255,39.443,40.011
9700000.0,40.257,39.447,40.015
9800000.0,40.259,39.45,40.019
9900000.0,40.261,39.454,40.023
10000000.0,40.263,39.457,40.026
10100000.0,40.265,39.46,40.03
10200000.0,40.267,39.463,40.034
10300000.0,40.268,39.467,40.037
10400000.0,40.27,39.47,40.04
10500000.0,40.272,39.473,40.044
10600000.0,40.273,39.476,40.047
10700000.0,40.275,39.479,40.05
10800000.0,40.277,39.482,40.053
10900000.0,40.278,39.485,40.057
11000000.0,40.28,39.488,40.06
11100000.0,40.281,39.491,40.063
11200000.0,40.283,39.494,40.066
11300000.0,40.285,39.496,40.068
11400000.0,40.286,39.499,40.071
11500000.0,40.288,39.502,40.074
11600000.0,40.289,39.505,40.077
11700000.0,40.29,39.507,40.079
11800000.0,40.292,39.51,40.082
11900000.0,40.293,39.512,40.085
12000000.0,40.295,39.515,40.087
12100000.0,40.296,39.517,40.09
12200000.0,40.297,39.52,40.092
12300000.0,40.299,39.523,40.094
12400000.0,40.3,39.525,40.097
12500000.0,40.301,39.527,40.099
12600000.0,40.302,39.53,40.102
12700000.0,40.304,39.532,40.104
12800000.0,40.305,39.535,40.106
12900000.0,40.306,39.537,40.108
13000000.0,40.307,39.539,40.11
13100000.0,40.308,39.541,40.113
13200000.0,40.31,39.544,40.115
13300000.0,40.311,39.546,40.117
13400000.0,40.312,39.548,40.119
13500000.0,40.313,39.55,40.121
13600000.0,40.314,39.552,40.123
13700000.0,40.315,39.554,40.124
13800000.0,40.316,39.557,40.126
13900000.0,40.317,39.559,40.128
14000000.0,40.318,39.561,40.13
14100000.0,40.319,39.563,40.132
14200000.0,40.32,39.565,40.134
14300000.0,40.321,39.567,40.135
14400000.0,40.322,39.569,40.137
14500000.0,40.323,39.571,40.139
14600000.0,40.324,39.573,40.141
14700000.0,40.325,39.575,40.142
14800000.0,40.326,39.576,40.144
14900000.0,40.327,39.578,40.145
15000000.0,40.328,39.58,40.147
15100000.0,40.329,39.582,40.149
15200000.0,40.33,39.584,40.15
15300000.0,40.331,39.585,40.152
15400000.0,40.331,39.587,40.153
15500000.0,40.332,39.589,40.155
15600000.0,40.333,39.591,40.156
15700000.0,40.334,39.593,40.158
15800000.0,40.335,39.594,40.159
15900000.0,40.336,39.596,40.16
16000000.0,40.336,39.598,40.162
16100000.0,40.337,39.599,40.163
16200000.0,40.338,39.601,40.165
16300000.0,40.339,39.603,40.166
16400000.0,40.34,39.604,40.167
16500000.0,40.34,39.606,40.169
16600000.0,40.341,39.608,40.17
16700000.0,40.342,39.609,40.171
16800000.0,40.343,39.611,40.173
16900000.0,40.343,39.612,40.174
17000000.0,40.344,39.614,40.175
17100000.0,40.345,39.615,40.176
17200000.0,40.346,39.617,40.178
17300000.0,40.346,39.618,40.179
17400000.0,40.347,39.62,40.18
17500000.0,40.348,39.621,40.181
17600000.0,40.348,39.623,40.182
17700000.0,40.349,39.624,40.183
17800000.0,40.35,39.626,40.185
17900000.0,40.35,39.627,40.186
18000000.0,40.351,39.629,40.187
18100000.0,40.352,39.63,40.188
18200000.0,40.353,39.631,40.189
18300000.0,40.353,39.633,40.19
18400000.0,40.354,39.634,40.191
18500000.0,40.354,39.636,40.192
18600000.0,40.355,39.637,40.193
18700000.0,40.356,39.638,40.195
18800000.0,40.356,39.64,40.196
18900000.0,40.357,39.641,40.197
19000000.0,40.358,39.642,40.198
19100000.0,40.358,39.644,40.199
19200000.0,40.359,39.645,40.2
19300000.0,40.359,39.646,40.201
19400000.0,40.36,39.648,40.202
19500000.0,40.361,39.649,40.203
19600000.0,40.361,39.65,40.203
19700000.0,40.362,39.651,40.204
19800000.0,40.362,39.653,40.205
19900000.0,40.363,39.654,40.206
20000000.0,40.363,39.655,40.207
20100000.0,40.364,39.656,40.208
20200000.0,40.364,39.658,40.209
20300000.0,40.365,39.659,40.21
20400000.0,40.366,39.66,40.211
20500000.0,40.366,39.661,40.212
20600000.0,40.367,39.662,40.213
20700000.0,40.367,39.663,40.213
20800000.0,40.368,39.665,40.214
20900000.0,40.368,39.666,40.215
21000000.0,40.369,39.667,40.216
21100000.0,40.369,39.668,40.217
21200000.0,40.37,39.669,40.218
21300000.0,40.37,39.67,40.219
21400000.0,40.371,39.672,40.219
21500000.0,40.371,39.673,40.22
21600000.0,40.372,39.674,40.221
21700000.0,40.372,39.675,40.222
21800000.0,40.373,39.676,40.223
21900000.0,40.373,39.677,40.223
22000000.0,40.374,39.678,40.224
22100000.0,40.374,39.679,40.225
22200000.0,40.375,39.68,40.226
22300000.0,40.375,39.682,40.227
22400000.0,40.376,39.683,40.227
22500000.0,40.376,39.684,40.228
22600000.0,40.377,39.685,40.229
22700000.0,40.377,39.686,40.23
22800000.0,40.378,39.687,40.23
22900000.0,40.378,39.688,40.231
23000000.0,40.378,39.689,40.232
23100000.0,40.379,39.69,40.233
23200000.0,40.379,39.691,40.233
23300000.0,40.38,39.692,40.234
23400000.0,40.38,39.693,40.235
23500000.0,40.381,39.694,40.235
23600000.0,40.381,39.695,40.236
23700000.0,40.382,39.696,40.237
23800000.0,40.382,39.697,40.237
23900000.0,40.382,39.698,40.238
24000000.0,40.383,39.699,40.239
24100000.0,40.383,39.7,40.24
24200000.0,40.384,39.701,40.24
24300000.0,40.384,39.702,40.241
24400000.0,40.385,39.703,40.242
24500000.0,40.385,39.704,40.242
24600000.0,40.385,39.705,40.243
24700000.0,40.386,39.706,40.244
24800000.0,40.386,39.707,40.244
24900000.0,40.387,39.707,40.245
25000000.0,40.387,39.708,40.245
25100000.0,40.387,39.709,40.246
25200000.0,40.388,39.71,40.247
25300000.0,40.388,39.711,40.247
25400000.0,40.389,39.712,40.248
25500000.0,40.389,39.713,40.249
25600000.0,40.389,39.714,40.249
25700000.0,40.39,39.715,40.25
25800000.0,40.39,39.716,40.25
25900000.0,40.391,39.717,40.251
26000000.0,40.391,39.717,40.252
26100000.0,40.391,39.718,40.252
26200000.0,40.392,39.719,40.253
26300000.0,40.392,39.72,40.254
26400000.0,40.392,39.721,40.254
26500000.0,40.393,39.722,40.255
26600000.0,40.393,39.723,40.255
26700000.0,40.394,39.724,40.256
26800000.0,40.394,39.724,40.256
26900000.0,40.394,39.725,40.257
27000000.0,40.395,39.726,40.257
27100000.0,40.395,39.727,40.258
27200000.0,40.395,39.728,40.259
27300000.0,40.396,39.729,40.259
27400000.0,40.396,39.729,40.26
27500000.0,40.396,39.73,40.26
27600000.0,40.397,39.731,40.261
27700000.0,40.397,39.732,40.261
27800000.0,40.397,39.733,40.262
27900000.0,40.398,39.733,40.262
28000000.0,40.398,39.734,40.263
28100000.0,40.398,39.735,40.263
28200000.0,40.399,39.736,40.264
28300000.0,40.399,39.737,40.264
28400000.0,40.399,39.737,40.265
28500000.0,40.4,39.738,40.266
28600000.0,40.4,39.739,40.266
28700000.0,40.4,39.74,40.267
28800000.0,40.401,39.74,40.267
28900000.0,40.401,39.741,40.268
29000000.0,40.401,39.742,40.268
29100000.0,40.402,39.743,40.269
29200000.0,40.402,39.744,40.269
29300000.0,40.402,39.744,40.27
29400000.0,40.403,39.745,40.27
29500000.0,40.403,39.746,40.271
29600000.0,40.403,39.747,40.271
29700000.0,40.404,39.747,40.272
29800000.0,40.404,39.748,40.272
29900000.0,40.404,39.749,40.273
30000000.0,40.404,39.75,40.273
30100000.0,40.405,39.75,40.274
30200000.0,40.405,39.751,40.274
30300000.0,40.405,39.752,40.274
30400000.0,40.406,39.753,40.275
30500000.0,40.406,39.753,40.275
30600000.0,40.406,39.754,40.276
30700000.0,40.407,39.755,40.276
30800000.0,40.407,39.755,40.277
30900000.0,40.407,39.756,40.277
31000000.0,40.407,39.757,40.278
31100000.0,40.408,39.758,40.278
31200000.0,40.408,39.758,40.279
31300000.0,40.408,39.759,40.279
31400000.0,40.409,39.76,40.279
31500000.0,40.409,39.76,40.28
31600000.0,40.409,39.761,40.28
31700000.0,40.409,39.762,40.281
31800000.0,40.41,39.762,40.281
31900000.0,40.41,39.763,40.282
32000000.0,40.41,39.764,40.282
32100000.0,40.411,39.764,40.282
32200000.0,40.411,39.765,40.283
32300000.0,40.411,39.766,40.283
32400000.0,40.411,39.766,40.284
32500000.0,40.412,39.767,40.284
32600000.0,40.412,39.768,40.285
32700000.0,40.412,39.768,40.285
32800000.0,40.412,39.769,40.285
32900000.0,40.413,39.77,40.286
33000000.0,40.413,39.77,40.286
33100000.0,40.413,39.771,40.287
33200000.0,40.414,39.772,40.287
33300000.0,40.414,39.772,40.287
33400000.0,40.414,39.773,40.288
33500000.0,40.414,39.773,40.288
33600000.0,40.415,39.774,40.289
33700000.0,40.415,39.775,40.289
33800000.0,40.415,39.775,40.289
33900000.0,40.415,39.776,40.29
34000000.0,40.416,39.777,40.29
34100000.0,40.416,39.777,40.291
34200000.0,40.416,39.778,40.291
34300000.0,40.416,39.779,40.291
34400000.0,40.417,39.779,40.292
34500000.0,40.417,39.78,40.292
34600000.0,40.417,39.78,40.293
34700000.0,40.417,39.781,40.293
34800000.0,40.418,39.782,40.293
34900000.0,40.418,39.782,40.294
35000000.0,40.418,39.783,40.294
35100000.0,40.418,39.783,40.294
35200000.0,40.419,39.784,40.295
35300000.0,40.419,39.785,40.295
35400000.0,40.419,39.785,40.296
35500000.0,40.419,39.786,40.296
35600000.0,40.42,39.787,40.296
35700000.0,40.42,39.787,40.297
