# UV luminosity at 1500 A for instantaneous burst ; Z=0.01
# Source: Starburst99 — Leitherer et al. (1999) ; ApJS ; 123 ; 3
# DOI: 10.1086/313233
# Website: https://www.stsci.edu/science/starburst99/
# Columns: time_yr ; log_l1500 [erg/s/Hz] ; log_l1500_2 ; log_l1500_3
time_yr,log_l1500,log_l1500_2,log_l1500_3
10000.0,39.274,38.402,38.9
110000.0,39.277,38.404,38.903
210000.0,39.283,38.408,38.906
310000.0,39.287,38.411,38.91
410000.0,39.294,38.414,38.914
510000.0,39.299,38.417,38.915
610000.0,39.306,38.421,38.918
710000.0,39.313,38.425,38.923
810000.0,39.319,38.429,38.928
910000.0,39.324,38.433,38.932
1010000.0,39.328,38.436,38.936
1110000.0,39.334,38.44,38.921
1210000.0,39.34,38.443,38.92
1310000.0,39.348,38.447,38.925
1410000.0,39.355,38.451,38.93
1510000.0,39.356,38.453,38.932
1610000.0,39.368,38.459,38.937
1710000.0,39.381,38.466,38.941
1810000.0,39.393,38.472,38.946
1910000.0,39.395,38.475,38.95
2010000.0,39.408,38.481,38.954
2110000.0,39.419,38.488,38.959
2210000.0,39.433,38.495,38.951
2310000.0,39.442,38.501,38.955
2410000.0,39.462,38.511,38.96
2510000.0,39.469,38.515,38.965
2610000.0,39.484,38.523,38.97
2710000.0,39.508,38.536,38.975
2810000.0,39.525,38.546,38.979
2910000.0,39.536,38.554,38.984
3010000.0,39.545,38.56,38.99
3110000.0,39.544,38.562,38.996
3210000.0,39.514,38.552,38.984
3310000.0,39.494,38.548,38.985
3410000.0,39.475,38.544,38.989
3510000.0,39.46,38.542,38.995
3610000.0,39.444,38.538,38.997
3710000.0,39.426,38.534,39.001
3810000.0,39.408,38.528,39.001
3910000.0,39.386,38.52,39.006
4010000.0,39.37,38.514,39.01
4110000.0,39.362,38.513,39.015
4210000.0,39.353,38.512,39.021
4310000.0,39.345,38.511,39.026
4410000.0,39.336,38.509,39.031
4510000.0,39.327,38.507,39.037
4610000.0,39.317,38.504,39.043
4710000.0,39.31,38.503,39.049
4810000.0,39.298,38.498,39.054
4910000.0,39.291,38.496,39.061
5010000.0,39.268,38.483,39.039
5110000.0,39.26,38.481,39.047
5210000.0,39.248,38.478,39.056
5310000.0,39.234,38.473,39.065
5410000.0,39.218,38.467,39.072
5510000.0,39.207,38.463,39.08
5610000.0,39.198,38.459,39.091
5710000.0,39.19,38.457,39.101
5810000.0,39.182,38.455,39.116
5910000.0,39.173,38.451,39.117
6010000.0,39.168,38.45,39.114
6110000.0,39.155,38.444,39.124
6210000.0,39.148,38.442,39.125
6310000.0,39.135,38.437,39.136
6410000.0,39.124,38.431,39.135
6510000.0,39.116,38.428,39.131
6610000.0,39.105,38.423,39.133
6710000.0,39.096,38.419,39.149
6810000.0,39.086,38.415,39.145
6910000.0,39.074,38.409,39.135
7010000.0,39.065,38.405,39.125
7110000.0,39.054,38.4,39.115
7210000.0,39.042,38.395,39.103
7310000.0,39.03,38.388,39.091
7410000.0,39.02,38.383,39.08
7510000.0,39.009,38.378,39.07
7610000.0,39.001,38.375,39.062
7710000.0,38.991,38.37,39.052
7810000.0,38.982,38.366,39.043
7910000.0,38.975,38.362,39.036
8010000.0,38.969,38.359,39.03
8110000.0,38.962,38.356,39.023
8210000.0,38.953,38.351,39.014
8310000.0,38.948,38.349,39.009
8410000.0,38.942,38.346,39.003
8510000.0,38.938,38.344,38.998
8610000.0,38.933,38.343,38.994
8710000.0,38.928,38.34,38.988
8810000.0,38.922,38.337,38.983
8910000.0,38.917,38.335,38.978
9010000.0,38.91,38.331,38.971
9110000.0,38.901,38.326,38.962
9210000.0,38.894,38.322,38.955
9310000.0,38.891,38.321,38.951
9410000.0,38.886,38.319,38.947
9510000.0,38.881,38.317,38.942
9610000.0,38.876,38.315,38.937
9710000.0,38.871,38.313,38.932
9810000.0,38.866,38.311,38.927
9910000.0,38.86,38.308,38.921
10010000.0,38.853,38.304,38.914
10110000.0,38.847,38.3,38.908
10210000.0,38.839,38.296,38.9
10310000.0,38.83,38.29,38.891
10410000.0,38.823,38.287,38.884
10510000.0,38.82,38.286,38.881
10610000.0,38.813,38.282,38.874
10710000.0,38.809,38.28,38.87
10810000.0,38.802,38.276,38.863
10910000.0,38.798,38.274,38.859
11010000.0,38.794,38.273,38.855
11110000.0,38.788,38.269,38.849
11210000.0,38.781,38.264,38.841
11310000.0,38.776,38.262,38.837
11410000.0,38.77,38.259,38.831
11510000.0,38.762,38.254,38.823
11610000.0,38.754,38.249,38.815
11710000.0,38.747,38.245,38.808
11810000.0,38.744,38.244,38.804
11910000.0,38.739,38.241,38.8
12010000.0,38.734,38.239,38.795
12110000.0,38.73,38.237,38.791
12210000.0,38.725,38.235,38.786
12310000.0,38.72,38.231,38.78
12410000.0,38.715,38.229,38.776
12510000.0,38.709,38.225,38.77
12610000.0,38.705,38.223,38.765
12710000.0,38.698,38.219,38.758
12810000.0,38.694,38.217,38.754
12910000.0,38.687,38.213,38.748
13010000.0,38.681,38.21,38.742
13110000.0,38.673,38.204,38.734
13210000.0,38.664,38.199,38.725
13310000.0,38.658,38.195,38.719
13410000.0,38.653,38.193,38.714
13510000.0,38.647,38.189,38.708
13610000.0,38.644,38.187,38.704
13710000.0,38.637,38.183,38.697
13810000.0,38.634,38.182,38.694
13910000.0,38.63,38.18,38.691
14010000.0,38.623,38.176,38.684
14110000.0,38.622,38.176,38.682
14210000.0,38.616,38.173,38.677
14310000.0,38.613,38.171,38.674
14410000.0,38.608,38.168,38.669
14510000.0,38.603,38.165,38.664
14610000.0,38.6,38.163,38.661
14710000.0,38.597,38.162,38.657
14810000.0,38.592,38.159,38.653
14910000.0,38.586,38.155,38.646
15010000.0,38.58,38.151,38.641
15110000.0,38.575,38.147,38.636
15210000.0,38.571,38.145,38.632
15310000.0,38.566,38.143,38.627
15410000.0,38.564,38.142,38.625
15510000.0,38.561,38.14,38.621
15610000.0,38.558,38.139,38.619
15710000.0,38.555,38.137,38.616
15810000.0,38.555,38.137,38.616
15910000.0,38.554,38.137,38.615
16010000.0,38.55,38.135,38.611
16110000.0,38.546,38.132,38.607
16210000.0,38.544,38.131,38.605
16310000.0,38.541,38.131,38.602
16410000.0,38.539,38.13,38.6
16510000.0,38.537,38.128,38.598
16610000.0,38.535,38.128,38.596
16710000.0,38.531,38.125,38.592
16810000.0,38.529,38.124,38.59
16910000.0,38.527,38.123,38.588
17010000.0,38.522,38.12,38.583
17110000.0,38.519,38.118,38.579
17210000.0,38.512,38.114,38.573
17310000.0,38.508,38.111,38.569
17410000.0,38.505,38.109,38.566
17510000.0,38.506,38.11,38.567
17610000.0,38.502,38.107,38.563
17710000.0,38.501,38.107,38.562
17810000.0,38.499,38.106,38.56
17910000.0,38.496,38.104,38.557
18010000.0,38.495,38.104,38.556
18110000.0,38.492,38.102,38.553
18210000.0,38.49,38.1,38.55
18310000.0,38.489,38.1,38.55
18410000.0,38.485,38.098,38.546
18510000.0,38.483,38.097,38.543
18610000.0,38.483,38.098,38.544
18710000.0,38.486,38.101,38.547
18810000.0,38.483,38.099,38.544
18910000.0,38.481,38.098,38.542
19010000.0,38.477,38.096,38.538
19110000.0,38.473,38.093,38.534
19210000.0,38.469,38.09,38.529
19310000.0,38.467,38.09,38.528
19410000.0,38.461,38.085,38.521
19510000.0,38.456,38.082,38.517
19610000.0,38.454,38.081,38.514
19710000.0,38.447,38.076,38.508
19810000.0,38.443,38.073,38.503
19910000.0,38.437,38.069,38.498
20010000.0,38.429,38.064,38.49
20110000.0,38.424,38.061,38.485
20210000.0,38.422,38.06,38.483
20310000.0,38.42,38.058,38.481
20410000.0,38.418,38.057,38.478
20510000.0,38.414,38.054,38.475
20610000.0,38.412,38.053,38.473
20710000.0,38.41,38.053,38.47
20810000.0,38.408,38.053,38.469
20910000.0,38.404,38.05,38.465
21010000.0,38.402,38.049,38.463
