# Ionizing photon rate for instantaneous burst ; Z=0.01
# Source: Starburst99 — Leitherer et al. (1999) ; ApJS ; 123 ; 3
# DOI: 10.1086/313233
# Website: https://www.stsci.edu/science/starburst99/
# Columns: time_yr ; log_nion [s^-1] ; log_nion_2 ; log_nion_3
time_yr,log_nion,log_nion_2,log_nion_3
10000.0,52.814,51.694,51.995
110000.0,52.818,51.698,51.997
210000.0,52.822,51.701,52.001
310000.0,52.83,51.707,52.007
410000.0,52.834,51.71,52.011
510000.0,52.84,51.714,52.017
610000.0,52.845,51.719,52.021
710000.0,52.851,51.724,52.025
810000.0,52.857,51.729,52.029
910000.0,52.863,51.734,52.036
1010000.0,52.868,51.739,52.041
1110000.0,52.871,51.74,52.045
1210000.0,52.869,51.739,52.05
1310000.0,52.867,51.74,52.054
1410000.0,52.876,51.747,52.061
1510000.0,52.878,51.749,52.034
1610000.0,52.885,51.755,52.037
1710000.0,52.885,51.755,52.043
1810000.0,52.875,51.752,52.05
1910000.0,52.89,51.763,52.053
2010000.0,52.904,51.773,52.058
2110000.0,52.898,51.769,52.062
2210000.0,52.88,51.757,52.069
2310000.0,52.89,51.765,52.075
2410000.0,52.896,51.772,52.079
2510000.0,52.895,51.773,52.092
2610000.0,52.877,51.763,52.064
2710000.0,52.846,51.74,52.067
2810000.0,52.835,51.739,52.075
2910000.0,52.822,51.737,52.082
3010000.0,52.798,51.726,52.086
3110000.0,52.771,51.712,52.092
3210000.0,52.764,51.703,52.087
3310000.0,52.788,51.698,52.093
3410000.0,52.794,51.705,52.1
3510000.0,52.768,51.695,52.078
3610000.0,52.726,51.677,52.083
3710000.0,52.678,51.65,52.065
3810000.0,52.636,51.63,52.072
3910000.0,52.601,51.608,52.078
4010000.0,52.554,51.582,52.084
4110000.0,52.483,51.534,52.089
4210000.0,52.464,51.524,52.095
4310000.0,52.449,51.518,52.102
4410000.0,52.426,51.504,52.107
4510000.0,52.412,51.498,52.114
4610000.0,52.381,51.478,52.12
4710000.0,52.364,51.467,52.128
4810000.0,52.329,51.443,52.129
4910000.0,52.296,51.417,52.131
5010000.0,52.256,51.384,52.111
5110000.0,52.202,51.34,52.044
5210000.0,52.193,51.337,52.056
5310000.0,52.178,51.329,52.067
5410000.0,52.166,51.322,52.078
5510000.0,52.15,51.313,52.09
5610000.0,52.133,51.302,52.103
5710000.0,52.115,51.29,52.091
5810000.0,52.106,51.285,52.111
5910000.0,52.084,51.269,52.104
6010000.0,52.055,51.247,52.088
6110000.0,52.039,51.236,52.077
6210000.0,52.002,51.206,52.047
6310000.0,51.951,51.161,51.998
6410000.0,51.927,51.141,51.981
6510000.0,51.91,51.129,51.971
6610000.0,51.895,51.119,51.956
6710000.0,51.88,51.11,51.941
6810000.0,51.866,51.1,51.927
6910000.0,51.847,51.086,51.907
7010000.0,51.831,51.074,51.892
7110000.0,51.812,51.06,51.872
7210000.0,51.79,51.043,51.851
7310000.0,51.761,51.018,51.822
7410000.0,51.73,50.992,51.791
7510000.0,51.683,50.95,51.744
7610000.0,51.667,50.937,51.727
7710000.0,51.647,50.921,51.708
7810000.0,51.632,50.91,51.693
7910000.0,51.612,50.894,51.673
8010000.0,51.59,50.876,51.651
8110000.0,51.565,50.855,51.626
8210000.0,51.533,50.826,51.594
8310000.0,51.48,50.777,51.541
8410000.0,51.466,50.767,51.527
8510000.0,51.452,50.756,51.513
8610000.0,51.439,50.746,51.5
8710000.0,51.42,50.73,51.48
