#Redshift   MUV       Phi               Err_Phi
2.0       -21.86     0.0000030         0.0000008
2.0       -21.11     0.0002700         0.0000089
2.0       -20.61     0.0006610         0.000154
2.0       -20.11     0.0017970         0.000321
2.0       -19.61     0.0030310         0.000301
2.0       -19.11     0.0046611         0.000353
2.0       -18.61     0.0058550         0.000437
2.0       -18.11     0.0077650         0.000617
2.0       -17.61     0.0115410         0.000835
2.0       -17.11     0.0107950         0.002006
2.0       -16.61     0.0159920         0.003437
3.0       -22.52     0.0000660         0.000005
3.0       -21.77     0.0000760         0.000038
3.0       -21.27     0.0004020         0.000078
3.0       -20.77     0.0007690         0.000117
3.0       -20.27     0.0016070         0.000157
3.0       -19.77     0.0020050         0.000180
3.0       -19.27     0.0035210         0.000239
3.0       -18.77     0.0045570         0.000287
3.0       -18.27     0.0062580         0.000437
3.0       -17.77     0.0114170         0.000656
3.0       -17.27     0.0102810         0.001368
4.0       -22.69     0.0000550         0.000004
4.0       -22.19     0.0001150         0.000009
4.0       -21.69     0.0001440         0.000022
4.0       -21.19     0.0003440         0.000038
4.0       -20.69     0.0006980         0.000068
4.0       -20.19     0.0016240         0.000131
4.0       -19.69     0.0022760         0.000199
4.0       -19.19     0.0030560         0.000388
4.0       -18.69     0.0043710         0.000689
4.0       -17.94     0.0101600         0.009200
4.0       -16.94     0.0274200         0.003440
4.0       -15.94     0.0288200         0.008740
5.0       -23.11     0.0000010         0.000001
5.0       -22.61     0.0000140         0.000002
5.0       -22.11     0.0000920         0.000007
5.0       -21.61     0.0006220         0.000042
5.0       -21.11     0.0005840         0.000044
5.0       -20.61     0.0008790         0.000067
5.0       -20.11     0.0015940         0.000156
5.0       -19.61     0.0021590         0.000346
5.0       -19.11     0.0046200         0.000520
5.0       -18.36     0.0087800         0.001540
5.0       -17.36     0.0251200         0.007340
6.0       -22.52     0.0000020         0.000002
6.0       -22.02     0.0000140         0.000005
6.0       -21.52     0.0000510         0.000011
6.0       -21.02     0.0001690         0.000024
6.0       -20.52     0.0003170         0.000041
6.0       -20.02     0.0007240         0.000087
6.0       -19.52     0.0011470         0.000157
6.0       -18.77     0.0028200         0.000440
6.0       -17.77     0.0083600         0.001660
6.0       -16.77     0.0171000         0.005260
7.0       -22.19     0.0000010         0.000002
7.0       -21.69     0.0000410         0.000011
7.0       -21.19     0.0000470         0.000015
7.0       -20.69     0.0001980         0.000036
7.0       -20.19     0.0002830         0.000066
7.0       -19.69     0.0005890         0.000126
7.0       -19.19     0.0011720         0.000336
7.0       -18.69     0.0014330         0.000419
7.0       -17.94     0.0057600         0.001440
7.0       -16.94     0.0083200         0.002900
8.0       -21.85     0.0000300         0.000002
8.0       -21.35     0.0000120         0.000004
8.0       -20.85     0.0001010         0.000011
8.0       -20.10     0.0002100         0.000040
8.0       -19.35     0.0006570         0.000233
8.0       -18.60     0.0011000         0.000340
8.0       -17.60     0.0030200         0.001140
9.0       -21.92     0.0000010         0.000001
9.0       -21.12     0.0000070         0.000003
9.0       -20.32     0.0000260         0.000009
9.0       -19.12     0.0001870         0.000150
9.0       -17.92     0.0009230         0.000501
10.0      -22.25     0.000002         NaN
10.0      -21.25     0.0000010         0.000001
10.0      -20.25     0.0000100         0.000005
10.0      -19.25     0.0000340         0.000022
10.0      -18.25     0.0001900         0.000120
10.0      -17.25     0.0006300         0.000520
17	-19.79	1.584893192461114e-05	Nan
17	-19.04	1.1748975549395302e-05	1.1259196730026856e-05
17	-18.29	5.495408738576248e-05	4.975876741932752e-05
17	-17.54	0.0001096478196143185	9.928179347108545e-05
25	-18.99	2.5118864315095822e-05	Nan
25	-18.24	1.5135612484362073e-05	1.2444077680435158e-05
25	-17.49	2.187761623949552e-05	2.0179372587033777e-05
