# V, U, I, B, M_V
-4.954419161077690603e+01 -5.060576595452089066e+01 -4.922456036635249177e+01 -5.025539819773442218e+01 -1.299219161077690643e+01
-4.963604556875030482e+01 -5.069759128554628802e+01 -4.928508684869157719e+01 -5.037002464921488354e+01 -1.308404556875030522e+01
-4.981847044725127915e+01 -5.085991818102626638e+01 -4.937821388933673461e+01 -5.060370917856946704e+01 -1.326647044725127955e+01
-5.055068318825340867e+01 -5.128853947824735826e+01 -4.986825683226263806e+01 -5.139482360005337824e+01 -1.399868318825340907e+01
-4.988800060330380859e+01 -5.021796107385739560e+01 -4.934531807338860432e+01 -5.059203048052288665e+01 -1.333600060330380899e+01
-4.891860112186493836e+01 -4.946084571083876824e+01 -4.820470262832066055e+01 -4.977180443448222036e+01 -1.236660112186493876e+01
-4.888013731298877929e+01 -4.893200918453194959e+01 -4.849289456587101910e+01 -4.948790482675076419e+01 -1.232813731298877968e+01
-4.873431515945857484e+01 -4.839177368743365548e+01 -4.866677607522554894e+01 -4.919492905420106155e+01 -1.218231515945857524e+01
-4.787890225314129822e+01 -4.778255616933664385e+01 -4.810680491514999346e+01 -4.838416946439344457e+01 -1.132690225314129862e+01
-4.747520201498353032e+01 -4.751764707591356540e+01 -4.762330739987803696e+01 -4.805882278880868341e+01 -1.092320201498353072e+01
-4.722150925841564373e+01 -4.722268819349001490e+01 -4.748589473472041789e+01 -4.777958975206409065e+01 -1.066950925841564413e+01
-4.704394206256675659e+01 -4.698809939648086953e+01 -4.719270688985545092e+01 -4.758258886106546015e+01 -1.049194206256675699e+01
-4.671893223739370882e+01 -4.647711442617855226e+01 -4.716551805849078249e+01 -4.705428972817968258e+01 -1.016693223739370922e+01
-4.614013479500207637e+01 -4.618669193311919230e+01 -4.675770907199093784e+01 -4.655608803436112453e+01 -9.588134795002076771e+00
-4.589760581935141204e+01 -4.600904709641008594e+01 -4.647421294337899411e+01 -4.634825852577375116e+01 -9.345605819351412435e+00
-4.577720683533730295e+01 -4.586297175179561236e+01 -4.639807053120097180e+01 -4.621325073622351454e+01 -9.225206835337303346e+00
-4.563398269677252017e+01 -4.572259660946527760e+01 -4.628019848593378072e+01 -4.608593413830086405e+01 -9.081982696772520569e+00
-4.550391739304217964e+01 -4.563623875012681452e+01 -4.608208889704826561e+01 -4.600515170708909807e+01 -8.951917393042180038e+00
-4.569645790645456884e+01 -4.571356159338502323e+01 -4.588702876237282169e+01 -4.623641870921014174e+01 -9.144457906454569240e+00
-4.558425056390943553e+01 -4.582077229760766102e+01 -4.559918826392398472e+01 -4.624999915576105280e+01 -9.032250563909435925e+00
-4.559450526201765541e+01 -4.579803147087908144e+01 -4.553302187239193444e+01 -4.628261477105816368e+01 -9.042505262017655809e+00
-4.551468606462977107e+01 -4.566138338253526285e+01 -4.553797688506161734e+01 -4.615083895838960615e+01 -8.962686064629771465e+00
-4.544002255255708178e+01 -4.560920847399623312e+01 -4.536593564866610961e+01 -4.612287229121265142e+01 -8.888022552557082179e+00
-4.535530952570476870e+01 -4.559295906276396693e+01 -4.523988416752312958e+01 -4.609274005949697539e+01 -8.803309525704769101e+00
-4.515059507152376028e+01 -4.535214414303443675e+01 -4.514928867000015345e+01 -4.584438699040140364e+01 -8.598595071523760680e+00
-4.510162165809510526e+01 -4.527377234452649191e+01 -4.506705913627483540e+01 -4.576303645230213135e+01 -8.549621658095105659e+00
-4.513188348365059710e+01 -4.527243222246084997e+01 -4.504108131448019492e+01 -4.581082840596711492e+01 -8.579883483650597498e+00
-4.506597676778787331e+01 -4.518961719741441385e+01 -4.511600652374008291e+01 -4.571099369973935467e+01 -8.513976767787873712e+00
-4.505904646739824670e+01 -4.516020406849274593e+01 -4.498416998983533688e+01 -4.570377735428820642e+01 -8.507046467398247103e+00
-4.502604848713848185e+01 -4.512328118338082561e+01 -4.502933627086996893e+01 -4.569632037384432977e+01 -8.474048487138482244e+00
-4.494010259441307653e+01 -4.503578406212700713e+01 -4.488847829423193048e+01 -4.559832698583086596e+01 -8.388102594413076929e+00
-4.493682747317707538e+01 -4.500143828449245120e+01 -4.486928623490263845e+01 -4.558409618961793797e+01 -8.384827473177075774e+00
-4.495292277548387005e+01 -4.493911000163822678e+01 -4.505933463798528749e+01 -4.555808710876389966e+01 -8.400922775483870453e+00
-4.489215390513803072e+01 -4.489103199975615155e+01 -4.493340553750653044e+01 -4.549599789237161929e+01 -8.340153905138031121e+00
-4.485135157564096176e+01 -4.482124880959201363e+01 -4.484425285620761770e+01 -4.544718933901779678e+01 -8.299351575640962153e+00
-4.489346114052285230e+01 -4.482216853301154202e+01 -4.490592034292204460e+01 -4.549846776664917769e+01 -8.341461140522852702e+00
-4.484091252082532719e+01 -4.480040703650456635e+01 -4.477293924149950755e+01 -4.546297357603066303e+01 -8.288912520825327590e+00
-4.478125012697449847e+01 -4.473799664454346470e+01 -4.468181266492645420e+01 -4.538715293591381084e+01 -8.229250126974498869e+00
-4.472736275866662936e+01 -4.466691933778673018e+01 -4.470788329183633181e+01 -4.533940001314267931e+01 -8.175362758666629759e+00
-4.467853024228701742e+01 -4.458951250108205500e+01 -4.462766369008680556e+01 -4.525939650612976095e+01 -8.126530242287017813e+00
-4.471252341321272183e+01 -4.460086111023610300e+01 -4.463522149911214143e+01 -4.529154087749496682e+01 -8.160523413212722232e+00
-4.466887626337295103e+01 -4.454776444259616142e+01 -4.464619593271165598e+01 -4.523731377692676858e+01 -8.116876263372951428e+00
-4.462310423922620117e+01 -4.447306907966171963e+01 -4.459903061526675572e+01 -4.516961397090853580e+01 -8.071104239226201571e+00
