# V, U, I, B, M_V
-5.173500198667365169e+01 -5.279100048717460680e+01 -5.143203423919834449e+01 -5.243199780870480708e+01 -1.518300198667365208e+01
-5.182121709785288033e+01 -5.287235005622444817e+01 -5.147183916788723224e+01 -5.255104419957842055e+01 -1.526921709785288073e+01
-5.198370644455855683e+01 -5.301690668788418037e+01 -5.149889536549746794e+01 -5.279221996915146065e+01 -1.543170644455855722e+01
-5.256029042407203633e+01 -5.337390140812088646e+01 -5.188684867997851313e+01 -5.342876269286624336e+01 -1.600829042407203673e+01
-5.183435098151856835e+01 -5.234678526535620335e+01 -5.122978755841182164e+01 -5.260758111481071353e+01 -1.528235098151856874e+01
-5.128236410296259606e+01 -5.157916304640394145e+01 -5.070789841455944469e+01 -5.201154680840631528e+01 -1.473036410296259646e+01
-5.066676083862117252e+01 -5.083567448105026187e+01 -5.038089427171144763e+01 -5.124416597751971381e+01 -1.411476083862117292e+01
-4.989294082653039908e+01 -5.021442860672242148e+01 -4.947018350761374705e+01 -5.057243629207732738e+01 -1.334094082653039948e+01
-5.007452450328690929e+01 -4.990184143662435901e+01 -4.976303509675026504e+01 -5.063079354755426209e+01 -1.352252450328690969e+01
-4.932547933942389307e+01 -4.940454796250529057e+01 -4.965047891306326733e+01 -4.987205421613536771e+01 -1.277347933942389346e+01
-4.914105669035432555e+01 -4.916417068861737505e+01 -4.955537620188148651e+01 -4.966135059741864666e+01 -1.258905669035432595e+01
-4.889455315405812286e+01 -4.886385715229648952e+01 -4.947235646307923673e+01 -4.941626742784293214e+01 -1.234255315405812325e+01
-4.843668008354708121e+01 -4.856467425805318783e+01 -4.900055254662167670e+01 -4.898701199683440421e+01 -1.188468008354708161e+01
-4.860441288403806936e+01 -4.843565943656484762e+01 -4.890247003905342638e+01 -4.896277477188897365e+01 -1.205241288403806976e+01
-4.856932308481734140e+01 -4.835931558197665936e+01 -4.877806527469871867e+01 -4.894088987236025190e+01 -1.201732308481734179e+01
-4.847876814523307587e+01 -4.832771803500885710e+01 -4.858952055192013120e+01 -4.903763400137038531e+01 -1.192676814523307627e+01
-4.830696465178566257e+01 -4.837175914057098680e+01 -4.828435345252813704e+01 -4.897109893799077440e+01 -1.175496465178566297e+01
-4.783796245554617599e+01 -4.819914322920782013e+01 -4.768467199164567205e+01 -4.861985536131512475e+01 -1.128596245554617639e+01
-4.771801633244293583e+01 -4.804350584218742171e+01 -4.748918209213612585e+01 -4.849173761757636925e+01 -1.116601633244293623e+01
-4.760948902599533739e+01 -4.796523172531539103e+01 -4.748339719753725774e+01 -4.837261415804018583e+01 -1.105748902599533778e+01
-4.759781156534033641e+01 -4.790817140572490018e+01 -4.754299002202381530e+01 -4.834499662371094075e+01 -1.104581156534033681e+01
-4.767114242425084569e+01 -4.789937234227706142e+01 -4.750224863331014546e+01 -4.839853736363582470e+01 -1.111914242425084609e+01
-4.763397560248949958e+01 -4.782752254474783626e+01 -4.765235084087660056e+01 -4.833794627753776751e+01 -1.108197560248949998e+01
-4.758818275665529995e+01 -4.775937005621756271e+01 -4.757124737950434223e+01 -4.827117295864762525e+01 -1.103618275665530035e+01
-4.754780913089604866e+01 -4.770054417922583667e+01 -4.749936579064556952e+01 -4.821235810978371461e+01 -1.099580913089604906e+01
-4.755318893987013240e+01 -4.764797472367011011e+01 -4.758818725746998979e+01 -4.821449023944633439e+01 -1.100118893987013280e+01
-4.749051761007450523e+01 -4.755640043150003748e+01 -4.753399881856206832e+01 -4.813275145885353368e+01 -1.093851761007450563e+01
-4.742144187405010314e+01 -4.748686351114489668e+01 -4.738538410061882189e+01 -4.806931814628872246e+01 -1.086944187405010354e+01
-4.743057245224014906e+01 -4.749943225042209605e+01 -4.730421483293242346e+01 -4.812439531113754043e+01 -1.087857245224014946e+01
-4.726597017904965981e+01 -4.742114766407269144e+01 -4.704248408380934166e+01 -4.800071452054426402e+01 -1.071397017904966020e+01
-4.703179967554245877e+01 -4.718269636365441499e+01 -4.702936173581886692e+01 -4.772742367414080888e+01 -1.047979967554245917e+01
-4.698183835623257210e+01 -4.714589874826187099e+01 -4.683312304979202878e+01 -4.769676559165641549e+01 -1.042983835623257249e+01
-4.702585675667003784e+01 -4.715774955991361139e+01 -4.694150678637342367e+01 -4.771708572096015644e+01 -1.047385675667003824e+01
-4.703337440061613961e+01 -4.715483403416017438e+01 -4.682078838527533549e+01 -4.776095401596273149e+01 -1.048137440061614001e+01
-4.702639603423573078e+01 -4.708581746772171783e+01 -4.684633452408728971e+01 -4.770817559383949913e+01 -1.047439603423573118e+01
-4.701193331438661005e+01 -4.707440742696081770e+01 -4.683454577334888569e+01 -4.769499384230100247e+01 -1.045993331438661045e+01
-4.696164201754200462e+01 -4.701890804256044731e+01 -4.684672711280104807e+01 -4.764520074480149248e+01 -1.040964201754200502e+01
-4.699819283365571465e+01 -4.697633773368031029e+01 -4.693703342139176016e+01 -4.764129238288941792e+01 -1.044619283365571505e+01
-4.704474055327698068e+01 -4.702206906924924112e+01 -4.690181709650366315e+01 -4.771854753875189203e+01 -1.049274055327698107e+01
-4.698659847155425240e+01 -4.696302609031310737e+01 -4.683125066167546890e+01 -4.764426098350541849e+01 -1.043459847155425280e+01
-4.697238347508410072e+01 -4.688718595543367940e+01 -4.685180504152714320e+01 -4.759041998243256444e+01 -1.042038347508410112e+01
-4.695032162372909568e+01 -4.688211138107703846e+01 -4.680367342874535552e+01 -4.760425248115697627e+01 -1.039832162372909607e+01
-4.693950384788055885e+01 -4.682135712455951904e+01 -4.685859675779716582e+01 -4.756633775243939510e+01 -1.038750384788055925e+01
-4.701543983323642095e+01 -4.649644273219258395e+01 -4.724733741649225749e+01 -4.742141430003316316e+01 -1.046343983323642135e+01
-4.701861050867095315e+01 -4.649136590818494597e+01 -4.726819075462589836e+01 -4.741905266210713421e+01 -1.046661050867095355e+01
-4.687500383510795388e+01 -4.646806611814093202e+01 -4.693109212688396781e+01 -4.735910889951174596e+01 -1.032300383510795427e+01
-4.685118594171541417e+01 -4.648247462551923093e+01 -4.676879907172086348e+01 -4.737860186827280984e+01 -1.029918594171541457e+01
-4.709695732446888172e+01 -4.659662503482493889e+01 -4.691439628579959731e+01 -4.755193008105728580e+01 -1.054495732446888212e+01
-4.718076494388020592e+01 -4.702861128896664411e+01 -4.661156511713015504e+01 -4.793403573593305111e+01 -1.062876494388020632e+01
-4.715695480245513949e+01 -4.690310179002145219e+01 -4.668600947014046199e+01 -4.786647642783974987e+01 -1.060495480245513988e+01
-4.648229597335854635e+01 -4.597588780663987507e+01 -4.667675320614214485e+01 -4.673676066325562317e+01 -9.930295973358546746e+00
