# V, U, I, B, M_V
-5.123431989092168948e+01 -5.229031839142265170e+01 -5.093135214344638229e+01 -5.193131571295285198e+01 -1.468231989092168988e+01
-5.132053500210091102e+01 -5.237166796047247885e+01 -5.097115707213527003e+01 -5.205036210382645834e+01 -1.476853500210091141e+01
-5.148302434880659462e+01 -5.251622459213221816e+01 -5.099821326974550573e+01 -5.229153787339949133e+01 -1.493102434880659501e+01
-5.205960832832008123e+01 -5.287321931236891714e+01 -5.138616658422655803e+01 -5.292808059711428825e+01 -1.550760832832008163e+01
-5.133366888576660614e+01 -5.184610316960424115e+01 -5.072910546265986653e+01 -5.210689901905874422e+01 -1.478166888576660654e+01
-5.078168200721063386e+01 -5.107848095065197214e+01 -5.020721631880747537e+01 -5.151086471265435307e+01 -1.422968200721063425e+01
-5.016607874286920321e+01 -5.033499238529830677e+01 -4.988021217595948542e+01 -5.074348388176774449e+01 -1.361407874286920361e+01
-4.939225873077843687e+01 -4.971374651097045216e+01 -4.896950141186177774e+01 -5.007175419632535807e+01 -1.284025873077843727e+01
-4.957384240753494709e+01 -4.940115934087239680e+01 -4.926235300099830283e+01 -5.013011145180229278e+01 -1.302184240753494748e+01
-4.882479724367193796e+01 -4.890386586675332836e+01 -4.914979681731129801e+01 -4.937137212038340550e+01 -1.227279724367193836e+01
-4.864037459460236335e+01 -4.866348859286541995e+01 -4.905469410612951719e+01 -4.916066850166667734e+01 -1.208837459460236374e+01
-4.839387105830616065e+01 -4.836317505654452020e+01 -4.897167436732728163e+01 -4.891558533209096282e+01 -1.184187105830616105e+01
-4.793599798779511190e+01 -4.806399216230122562e+01 -4.849987045086970738e+01 -4.848632990108243490e+01 -1.138399798779511229e+01
-4.810373078828610716e+01 -4.793497734081287831e+01 -4.840178794330146417e+01 -4.846209267613701144e+01 -1.155173078828610755e+01
-4.806864098906537919e+01 -4.785863348622469715e+01 -4.827738317894674935e+01 -4.844020777660828969e+01 -1.151664098906537959e+01
-4.797808604948110656e+01 -4.782703593925688779e+01 -4.808883845616817609e+01 -4.853695190561843020e+01 -1.142608604948110695e+01
