time_yr,log_snr,log_snr_2,log_snr_3
10000.0,-30.0,-30.0,-30.0
110000.0,-30.0,-30.0,-30.0
210000.0,-30.0,-30.0,-30.0
310000.0,-30.0,-30.0,-30.0
410000.0,-30.0,-30.0,-30.0
510000.0,-30.0,-30.0,-30.0
610000.0,-30.0,-30.0,-30.0
710000.0,-30.0,-30.0,-30.0
810000.0,-30.0,-30.0,-30.0
910000.0,-30.0,-30.0,-30.0
1010000.0,-30.0,-30.0,-30.0
1110000.0,-30.0,-30.0,-30.0
1210000.0,-30.0,-30.0,-30.0
1310000.0,-30.0,-30.0,-30.0
1410000.0,-30.0,-30.0,-30.0
1510000.0,-30.0,-30.0,-30.0
1610000.0,-30.0,-30.0,-30.0
1710000.0,-30.0,-30.0,-30.0
1810000.0,-30.0,-30.0,-30.0
1910000.0,-30.0,-30.0,-30.0
2010000.0,-30.0,-30.0,-30.0
2110000.0,-30.0,-30.0,-30.0
2210000.0,-30.0,-30.0,-30.0
2310000.0,-30.0,-30.0,-30.0
2410000.0,-30.0,-30.0,-30.0
2510000.0,-30.0,-30.0,-30.0
2610000.0,-30.0,-30.0,-30.0
2710000.0,-30.0,-30.0,-30.0
2810000.0,-30.0,-30.0,-30.0
2910000.0,-30.0,-30.0,-30.0
3010000.0,-30.0,-30.0,-30.0
3110000.0,-30.0,-30.0,-30.0
3210000.0,-30.0,-30.0,-30.0
3310000.0,-30.0,-30.0,-30.0
3410000.0,-30.0,-30.0,-30.0
3510000.0,-3.219,-4.631,-30.0
3610000.0,-3.112,-4.495,-30.0
3710000.0,-3.182,-4.535,-30.0
3810000.0,-3.168,-4.498,-30.0
3910000.0,-3.152,-4.458,-30.0
4010000.0,-3.128,-4.412,-30.0
4110000.0,-3.109,-4.371,-30.0
4210000.0,-3.086,-4.327,-30.0
4310000.0,-3.094,-4.315,-30.0
4410000.0,-3.141,-4.345,-30.0
4510000.0,-3.093,-4.282,-30.0
4610000.0,-3.249,-4.422,-30.0
4710000.0,-3.235,-4.393,-30.0
4810000.0,-3.201,-4.345,-30.0
4910000.0,-3.139,-4.271,-30.0
5010000.0,-3.151,-4.268,-30.0
5110000.0,-3.095,-4.2,-30.0
5210000.0,-3.088,-4.18,-30.0
5310000.0,-3.057,-4.137,-30.0
5410000.0,-3.023,-4.091,-30.0
5510000.0,-2.994,-4.05,-30.0
5610000.0,-3.372,-4.415,-30.0
5710000.0,-3.351,-4.385,-30.0
5810000.0,-3.359,-4.385,-30.0
5910000.0,-3.339,-4.356,-30.0
6010000.0,-3.319,-4.328,-30.0
6110000.0,-3.299,-4.3,-30.0
6210000.0,-3.25,-4.244,-30.0
6310000.0,-3.202,-4.188,-30.0
6410000.0,-3.184,-4.162,-30.0
6510000.0,-3.214,-4.184,-30.0
6610000.0,-3.196,-4.159,-30.0
6710000.0,-3.129,-4.085,-30.0
6810000.0,-3.111,-4.06,-30.0
6910000.0,-3.142,-4.084,-30.0
7010000.0,-3.125,-4.06,-30.0
7110000.0,-3.108,-4.036,-3.501
7210000.0,-3.091,-4.012,-3.484
7310000.0,-3.026,-3.941,-2.965
7410000.0,-3.059,-3.966,-2.998
7510000.0,-3.043,-3.944,-2.982
7610000.0,-3.027,-3.921,-2.966
7710000.0,-3.011,-3.899,-2.95
7810000.0,-2.996,-3.878,-2.935
7910000.0,-2.98,-3.856,-2.92
8010000.0,-2.965,-3.835,-2.905
8110000.0,-2.951,-3.814,-2.89
8210000.0,-2.936,-3.794,-2.875
8310000.0,-2.875,-3.728,-2.814
8410000.0,-3.097,-3.943,-3.036
8510000.0,-3.114,-3.955,-3.053
8610000.0,-3.073,-3.91,-3.012
8710000.0,-3.061,-3.893,-3.0
8810000.0,-3.05,-3.877,-2.989
8910000.0,-3.09,-3.912,-3.029
9010000.0,-3.078,-3.896,-3.018
9110000.0,-3.067,-3.88,-3.006
9210000.0,-3.056,-3.865,-2.995
9310000.0,-3.045,-3.849,-2.984
9410000.0,-3.034,-3.834,-2.973
9510000.0,-3.023,-3.819,-2.963
9610000.0,-3.013,-3.804,-2.952
9710000.0,-3.002,-3.789,-2.941
9810000.0,-2.992,-3.775,-2.931
9910000.0,-2.981,-3.76,-2.921
10010000.0,-2.971,-3.746,-2.91
10110000.0,-2.961,-3.731,-2.9
10210000.0,-2.951,-3.717,-2.89
10310000.0,-2.942,-3.705,-2.881
10410000.0,-2.877,-3.637,-2.816
10510000.0,-2.812,-3.569,-2.751
10610000.0,-2.744,-3.499,-2.683
10710000.0,-2.674,-3.426,-2.614
10810000.0,-2.667,-3.416,-2.606
10910000.0,-2.659,-3.405,-2.598
11010000.0,-2.603,-3.347,-2.542
11110000.0,-2.596,-3.336,-2.535
11210000.0,-2.588,-3.326,-2.527
11310000.0,-2.581,-3.315,-2.52
11410000.0,-2.574,-3.305,-2.513
11510000.0,-2.566,-3.295,-2.506
11610000.0,-2.607,-3.332,-2.546
11710000.0,-2.6,-3.322,-2.539
