# UV Luminosity Function Observational Data
# Format: redshift, source, muv, phi, phi_err_low, phi_err_up, is_upper_limit
# phi and errors in units of Mpc^-3 mag^-1
# is_upper_limit: 0=detection, 1=upper limit
#
# References by source:
#   Harikane23: https://doi.org/10.3847/1538-4357/ad0b7e
#   Donnan24: https://arxiv.org/pdf/2403.03171
#   McLeod23: https://arxiv.org/abs/2304.14469
#   Leung23: https://arxiv.org/abs/2306.06244
#   CEERS_Finkelstein23: https://arxiv.org/abs/2311.04279
#   Oesch18: Oesch et al. 2018 (pre-JWST)
redshift,source,muv,phi,phi_err_low,phi_err_up,is_upper_limit
10,Harikane23,-21.03,4.00e-5,3.85e-5,9.42e-5,0
10,Harikane23,-20.03,4.08e-5,3.92e-5,9.60e-5,0
10,Harikane23,-19.03,2.24e-4,1.46e-4,1.87e-4,0
10,Harikane23,-18.03,1.12e-3,0.90e-3,1.03e-3,0
10,Harikane23,-23.03,6.95e-5,,,1
10,Harikane23,-22.03,7.67e-5,,,1
10,Donnan24,-20.75,4e-6,4e-6,10e-6,0
10,Donnan24,-20.25,27e-6,10e-6,13e-6,0
10,Donnan24,-19.75,92e-6,20e-6,25e-6,0
10,Donnan24,-19.25,177e-6,45e-6,53e-6,0
10,Donnan24,-18.55,321e-6,111e-6,127e-6,0
10,Donnan24,-18.05,686e-6,223e-6,245e-6,0
10,Donnan24,-17.55,1278e-6,432e-6,486e-6,0
10,Whitler25,-21.4,0.40e-5,0.26e-5,0.45e-5,0
10,Whitler25,-20.4,3.6e-5,1.1e-5,1.2e-5,0
10,Whitler25,-19.4,17e-5,3e-5,3e-5,0
10,Whitler25,-18.4,78e-5,9e-5,10e-5,0
10,Whitler25,-17.4,330e-5,40e-5,50e-5,0
10,Oesch18,-22.25,1.7e-5,5.0e-5,5.0e-5,0
10,Oesch18,-21.25,1.0e-5,8.0e-6,2.2e-5,0
10,Oesch18,-20.25,1.0e-4,5.0e-5,1.0e-4,0
10,Oesch18,-19.25,3.4e-4,2.2e-4,4.5e-4,0
10,Oesch18,-18.25,1.9e-3,1.2e-3,2.5e-3,0
10,Oesch18,-17.25,6.3e-3,5.2e-3,1.49e-2,0
12,McLeod23,-22.57,0.012e-5,0.012e-5,0.012e-5,0
12,McLeod23,-21.80,0.129e-5,0.128e-5,0.128e-5,0
12,McLeod23,-20.80,1.254e-5,0.428e-5,0.428e-5,0
12,McLeod23,-20.05,3.974e-5,1.340e-5,1.340e-5,0
12,McLeod23,-19.55,9.863e-5,4.197e-5,4.197e-5,0
12,McLeod23,-18.85,23.490e-5,9.190e-5,9.190e-5,0
12,McLeod23,-18.23,63.080e-5,28.650e-5,28.650e-5,0
12,Donnan24,-21.25,3e-6,2e-6,4e-6,0
12,Donnan24,-20.75,4e-6,3e-6,5e-6,0
12,Donnan24,-20.25,16e-6,6e-6,9e-6,0
12,Donnan24,-19.75,34e-6,15e-6,23e-6,0
12,Donnan24,-19.25,43e-6,22e-6,35e-6,0
12,Donnan24,-18.75,80e-6,36e-6,51e-6,0
12,Donnan24,-18.25,217e-6,104e-6,153e-6,0
12,CEERS_Finkelstein23,-20.5,1.8e-5,0.9e-5,1.2e-5,0
12,CEERS_Finkelstein23,-20.0,5.4e-5,2.1e-5,2.7e-5,0
12,CEERS_Finkelstein23,-19.5,7.6e-5,3.0e-5,3.9e-5,0
12,CEERS_Finkelstein23,-19.0,17.6e-5,7.9e-5,10.3e-5,0
12,CEERS_Finkelstein23,-18.5,26.3e-5,13.3e-5,18.2e-5,0
12,Casey23,-22.0,1.0e-6,0.4e-6,0.3e-6,0
12,Casey23,-21.2,1.4e-6,0.5e-6,0.5e-6,0
12,Leung23,-19.35,18.5e-5,8.3e-5,11.9e-5,0
12,Leung23,-18.65,27.7e-5,13.0e-5,18.3e-5,0
12,Leung23,-17.95,59.1e-5,29.3e-5,41.9e-5,0
12,Leung23,-17.25,269.0e-5,124.0e-5,166.0e-5,0
12,Whitler25,-20.5,0.84e-5,0.43e-5,0.63e-5,0
12,Whitler25,-19.5,3.4e-5,1.3e-5,1.5e-5,0
12,Whitler25,-18.5,29e-5,6e-5,6e-5,0
12,Whitler25,-17.5,71e-5,23e-5,28e-5,0
12,Robertson24,-18.5,1.22e-4,0.94e-4,0.94e-4,0
12,Robertson24,-18.0,3.20e-4,2.46e-4,2.46e-4,0
12,Robertson24,-17.6,1.54e-4,1.18e-4,1.18e-4,0
14,Casey23,-21,0.81e-6,0.42e-6,0.42e-6,0
14,CEERS_Finkelstein23,-20.0,2.6e-5,1.8e-5,3.3e-5,0
14,CEERS_Finkelstein23,-19.5,7.3e-5,4.4e-5,6.9e-5,0
14,CEERS_Finkelstein23,-20.5,1.8e-5,,,1
14,Donnan24,-20.25,3e-6,2e-6,6e-6,0
14,McLeod23,-19.45,2.469e-6,1.659e-6,1.659e-6,0
14,McLeod23,-18.95,6.199e-6,3.974e-6,3.974e-6,0
14,Whitler25,-20.2,3.2e-5,1.5e-5,2.1e-5,0
14,Whitler25,-18.9,12e-5,5e-5,7e-5,0
14,Robertson24,-20.8,0.371e-4,0.357e-4,0.357e-4,0
14,Robertson24,-18.4,2.56e-4,2.46e-4,2.46e-4,0
14,Robertson24,-18.1,0.783e-4,0.754e-4,0.754e-4,0
