radius,wavelength,Qext_PAH,Qabs_PAH,Qsca_PAH,g_PAH
0.0003548,1000.0,1.999e-09,1.999e-09,6.536e-23,0.0
0.0003548,988.6,2.045e-09,2.045e-09,6.844e-23,0.0
0.0003548,977.2,2.092e-09,2.092e-09,7.166e-23,0.0
0.0003548,966.1,2.14e-09,2.14e-09,7.504e-23,0.0
0.0003548,955.0,2.189e-09,2.189e-09,7.857e-23,0.0
0.0003548,944.1,2.239e-09,2.239e-09,8.227e-23,0.0
0.0003548,933.3,2.29e-09,2.29e-09,8.614e-23,0.0
0.0003548,922.6,2.343e-09,2.343e-09,9.019e-23,0.0
0.0003548,912.0,2.396e-09,2.396e-09,9.444e-23,0.0
0.0003548,901.6,2.451e-09,2.451e-09,9.889e-23,0.0
0.0003548,891.3,2.508e-09,2.508e-09,1.035e-22,0.0
0.0003548,881.0,2.565e-09,2.565e-09,1.084e-22,0.0
0.0003548,871.0,2.624e-09,2.624e-09,1.135e-22,0.0
0.0003548,861.0,2.684e-09,2.684e-09,1.189e-22,0.0
0.0003548,851.1,2.746e-09,2.746e-09,1.245e-22,0.0
0.0003548,841.4,2.809e-09,2.809e-09,1.303e-22,0.0
0.0003548,831.8,2.873e-09,2.873e-09,1.364e-22,0.0
0.0003548,822.2,2.939e-09,2.939e-09,1.429e-22,0.0
0.0003548,812.8,3.006e-09,3.006e-09,1.496e-22,0.0
0.0003548,803.5,3.075e-09,3.075e-09,1.566e-22,0.0
0.0003548,794.3,3.146e-09,3.146e-09,1.64e-22,0.0
0.0003548,785.2,3.218e-09,3.218e-09,1.717e-22,0.0
0.0003548,776.2,3.292e-09,3.292e-09,1.798e-22,0.0
0.0003548,767.4,3.367e-09,3.367e-09,1.883e-22,0.0
0.0003548,758.6,3.445e-09,3.445e-09,1.971e-22,0.0
0.0003548,749.9,3.524e-09,3.524e-09,2.064e-22,0.0
0.0003548,741.3,3.604e-09,3.604e-09,2.161e-22,0.0
0.0003548,732.8,3.687e-09,3.687e-09,2.263e-22,0.0
0.0003548,724.4,3.772e-09,3.772e-09,2.369e-22,0.0
0.0003548,716.1,3.858e-09,3.858e-09,2.481e-22,0.0
0.0003548,707.9,3.947e-09,3.947e-09,2.597e-22,0.0
0.0003548,699.8,4.037e-09,4.037e-09,2.719e-22,0.0
0.0003548,691.8,4.13e-09,4.13e-09,2.847e-22,0.0
0.0003548,683.9,4.224e-09,4.224e-09,2.981e-22,0.0
0.0003548,676.1,4.321e-09,4.321e-09,3.121e-22,0.0
0.0003548,668.3,4.42e-09,4.42e-09,3.268e-22,0.0
0.0003548,660.7,4.522e-09,4.522e-09,3.422e-22,0.0
0.0003548,653.1,4.625e-09,4.625e-09,3.583e-22,0.0
0.0003548,645.7,4.731e-09,4.731e-09,3.751e-22,0.0
0.0003548,638.3,4.84e-09,4.84e-09,3.928e-22,0.0
0.0003548,631.0,4.951e-09,4.951e-09,4.112e-22,0.0
0.0003548,623.7,5.064e-09,5.064e-09,4.306e-22,0.0
0.0003548,616.6,5.18e-09,5.18e-09,4.508e-22,0.0
0.0003548,609.5,5.299e-09,5.299e-09,4.72e-22,0.0
0.0003548,602.6,5.42e-09,5.42e-09,4.942e-22,0.0
0.0003548,595.7,5.544e-09,5.544e-09,5.174e-22,0.0
0.0003548,588.8,5.671e-09,5.671e-09,5.418e-22,0.0
0.0003548,582.1,5.801e-09,5.801e-09,5.672e-22,0.0
0.0003548,575.4,5.934e-09,5.934e-09,5.939e-22,0.0
0.0003548,568.9,6.069e-09,6.069e-09,6.218e-22,0.0
0.0003548,562.3,6.208e-09,6.208e-09,6.51e-22,0.0
0.0003548,555.9,6.35e-09,6.35e-09,6.816e-22,0.0
0.0003548,549.5,6.495e-09,6.495e-09,7.136e-22,0.0
0.0003548,543.3,6.644e-09,6.644e-09,7.471e-22,0.0
0.0003548,537.0,6.796e-09,6.796e-09,7.822e-22,0.0
0.0003548,530.9,6.951e-09,6.951e-09,8.19e-22,0.0
0.0003548,524.8,7.11e-09,7.11e-09,8.575e-22,0.0
0.0003548,518.8,7.272e-09,7.272e-09,8.977e-22,0.0
0.0003548,512.9,7.438e-09,7.438e-09,9.399e-22,0.0
0.0003548,507.0,7.608e-09,7.608e-09,9.84e-22,0.0
0.0003548,501.2,7.781e-09,7.781e-09,1.03e-21,0.0
0.0003548,495.5,7.959e-09,7.959e-09,1.079e-21,0.0
0.0003548,489.8,8.14e-09,8.14e-09,1.129e-21,0.0
0.0003548,484.2,8.326e-09,8.326e-09,1.182e-21,0.0
0.0003548,478.6,8.515e-09,8.515e-09,1.238e-21,0.0
0.0003548,473.2,8.709e-09,8.709e-09,1.296e-21,0.0
0.0003548,467.7,8.907e-09,8.907e-09,1.357e-21,0.0
0.0003548,462.4,9.11e-09,9.11e-09,1.42e-21,0.0
0.0003548,457.1,9.317e-09,9.317e-09,1.487e-21,0.0
0.0003548,451.9,9.529e-09,9.529e-09,1.557e-21,0.0
0.0003548,446.7,9.746e-09,9.746e-09,1.63e-21,0.0
0.0003548,441.6,9.967e-09,9.967e-09,1.706e-21,0.0
0.0003548,436.5,1.019e-08,1.019e-08,1.786e-21,0.0
0.0003548,431.5,1.042e-08,1.042e-08,1.87e-21,0.0
0.0003548,426.6,1.066e-08,1.066e-08,1.958e-21,0.0
0.0003548,421.7,1.09e-08,1.09e-08,2.05e-21,0.0
0.0003548,416.9,1.115e-08,1.115e-08,2.146e-21,0.0
0.0003548,412.1,1.14e-08,1.14e-08,2.246e-21,0.0
0.0003548,407.4,1.166e-08,1.166e-08,2.352e-21,0.0
0.0003548,402.7,1.193e-08,1.193e-08,2.462e-21,0.0
0.0003548,398.1,1.219e-08,1.219e-08,2.577e-21,0.0
0.0003548,393.6,1.247e-08,1.247e-08,2.698e-21,0.0
0.0003548,389.0,1.275e-08,1.275e-08,2.824e-21,0.0
0.0003548,384.6,1.304e-08,1.304e-08,2.957e-21,0.0
0.0003548,380.2,1.333e-08,1.333e-08,3.095e-21,0.0
0.0003548,375.8,1.364e-08,1.364e-08,3.24e-21,0.0
0.0003548,371.5,1.394e-08,1.394e-08,3.392e-21,0.0
0.0003548,367.3,1.426e-08,1.426e-08,3.551e-21,0.0
0.0003548,363.1,1.458e-08,1.458e-08,3.717e-21,0.0
0.0003548,358.9,1.491e-08,1.491e-08,3.891e-21,0.0
0.0003548,354.8,1.524e-08,1.524e-08,4.073e-21,0.0
0.0003548,350.8,1.558e-08,1.558e-08,4.264e-21,0.0
0.0003548,346.7,1.593e-08,1.593e-08,4.463e-21,0.0
0.0003548,342.8,1.629e-08,1.629e-08,4.672e-21,0.0
0.0003548,338.8,1.666e-08,1.666e-08,4.891e-21,0.0
0.0003548,335.0,1.703e-08,1.703e-08,5.119e-21,0.0
0.0003548,331.1,1.741e-08,1.741e-08,5.359e-21,0.0
0.0003548,327.3,1.78e-08,1.78e-08,5.609e-21,0.0
0.0003548,323.6,1.82e-08,1.82e-08,5.871e-21,0.0
0.0003548,319.9,1.86e-08,1.86e-08,6.146e-21,0.0
0.0003548,316.2,1.902e-08,1.902e-08,6.433e-21,0.0
0.0003548,312.6,1.944e-08,1.944e-08,6.734e-21,0.0
0.0003548,309.0,1.988e-08,1.988e-08,7.048e-21,0.0
0.0003548,305.5,2.032e-08,2.032e-08,7.377e-21,0.0
0.0003548,302.0,2.077e-08,2.077e-08,7.722e-21,0.0
0.0003548,298.5,2.123e-08,2.123e-08,8.082e-21,0.0
0.0003548,295.1,2.17e-08,2.17e-08,8.46e-21,0.0
0.0003548,291.7,2.218e-08,2.218e-08,8.854e-21,0.0
0.0003548,288.4,2.267e-08,2.267e-08,9.268e-21,0.0
0.0003548,285.1,2.318e-08,2.318e-08,9.7e-21,0.0
0.0003548,281.8,2.369e-08,2.369e-08,1.015e-20,0.0
0.0003548,278.6,2.421e-08,2.421e-08,1.063e-20,0.0
0.0003548,275.4,2.475e-08,2.475e-08,1.112e-20,0.0
0.0003548,272.3,2.529e-08,2.529e-08,1.164e-20,0.0
0.0003548,269.2,2.585e-08,2.585e-08,1.218e-20,0.0
0.0003548,266.1,2.642e-08,2.642e-08,1.275e-20,0.0
0.0003548,263.0,2.7e-08,2.7e-08,1.334e-20,0.0
0.0003548,260.0,2.759e-08,2.759e-08,1.397e-20,0.0
0.0003548,257.0,2.819e-08,2.819e-08,1.462e-20,0.0
0.0003548,254.1,2.881e-08,2.881e-08,1.53e-20,0.0
0.0003548,251.2,2.944e-08,2.944e-08,1.601e-20,0.0
0.0003548,248.3,3.008e-08,3.008e-08,1.675e-20,0.0
0.0003548,245.5,3.074e-08,3.074e-08,1.753e-20,0.0
0.0003548,242.7,3.141e-08,3.141e-08,1.835e-20,0.0
0.0003548,239.9,3.209e-08,3.209e-08,1.92e-20,0.0
0.0003548,237.1,3.279e-08,3.279e-08,2.009e-20,0.0
0.0003548,234.4,3.35e-08,3.35e-08,2.103e-20,0.0
0.0003548,231.7,3.422e-08,3.422e-08,2.2e-20,0.0
0.0003548,229.1,3.496e-08,3.496e-08,2.303e-20,0.0
0.0003548,226.5,3.572e-08,3.572e-08,2.409e-20,0.0
0.0003548,223.9,3.649e-08,3.649e-08,2.521e-20,0.0
0.0003548,221.3,3.727e-08,3.727e-08,2.638e-20,0.0
0.0003548,218.8,3.808e-08,3.808e-08,2.761e-20,0.0
0.0003548,216.3,3.889e-08,3.889e-08,2.889e-20,0.0
0.0003548,213.8,3.973e-08,3.973e-08,3.023e-20,0.0
0.0003548,211.3,4.058e-08,4.058e-08,3.163e-20,0.0
0.0003548,208.9,4.145e-08,4.145e-08,3.31e-20,0.0
0.0003548,206.5,4.233e-08,4.233e-08,3.463e-20,0.0
0.0003548,204.2,4.323e-08,4.323e-08,3.623e-20,0.0
0.0003548,201.8,4.415e-08,4.415e-08,3.791e-20,0.0
0.0003548,199.5,4.509e-08,4.509e-08,3.967e-20,0.0
0.0003548,197.2,4.605e-08,4.605e-08,4.15e-20,0.0
0.0003548,195.0,4.702e-08,4.702e-08,4.342e-20,0.0
0.0003548,192.8,4.802e-08,4.802e-08,4.543e-20,0.0
0.0003548,190.5,4.903e-08,4.903e-08,4.753e-20,0.0
0.0003548,188.4,5.007e-08,5.007e-08,4.973e-20,0.0
0.0003548,186.2,5.112e-08,5.112e-08,5.203e-20,0.0
0.0003548,184.1,5.22e-08,5.22e-08,5.443e-20,0.0
0.0003548,182.0,5.329e-08,5.329e-08,5.694e-20,0.0
0.0003548,179.9,5.441e-08,5.441e-08,5.957e-20,0.0
0.0003548,177.8,5.555e-08,5.555e-08,6.232e-20,0.0
0.0003548,175.8,5.671e-08,5.671e-08,6.52e-20,0.0
0.0003548,173.8,5.789e-08,5.789e-08,6.821e-20,0.0
0.0003548,171.8,5.909e-08,5.909e-08,7.135e-20,0.0
0.0003548,169.8,6.032e-08,6.032e-08,7.464e-20,0.0
0.0003548,167.9,6.157e-08,6.157e-08,7.808e-20,0.0
0.0003548,166.0,6.284e-08,6.284e-08,8.168e-20,0.0
0.0003548,164.1,6.414e-08,6.414e-08,8.544e-20,0.0
0.0003548,162.2,6.546e-08,6.546e-08,8.937e-20,0.0
0.0003548,160.3,6.681e-08,6.681e-08,9.348e-20,0.0
0.0003548,158.5,6.818e-08,6.818e-08,9.778e-20,0.0
0.0003548,156.7,6.958e-08,6.958e-08,1.023e-19,0.0
0.0003548,154.9,7.1e-08,7.1e-08,1.07e-19,0.0
0.0003548,153.1,7.245e-08,7.245e-08,1.119e-19,0.0
0.0003548,151.4,7.393e-08,7.393e-08,1.17e-19,0.0
0.0003548,149.6,7.543e-08,7.543e-08,1.224e-19,0.0
0.0003548,147.9,7.696e-08,7.696e-08,1.28e-19,0.0
0.0003548,146.2,7.852e-08,7.852e-08,1.339e-19,0.0
0.0003548,144.5,8.011e-08,8.011e-08,1.401e-19,0.0
0.0003548,142.9,8.173e-08,8.173e-08,1.465e-19,0.0
0.0003548,141.3,8.338e-08,8.338e-08,1.532e-19,0.0
0.0003548,139.6,8.506e-08,8.506e-08,1.602e-19,0.0
0.0003548,138.0,8.677e-08,8.677e-08,1.676e-19,0.0
0.0003548,136.5,8.851e-08,8.851e-08,1.752e-19,0.0
0.0003548,134.9,9.029e-08,9.029e-08,1.833e-19,0.0
0.0003548,133.4,9.209e-08,9.209e-08,1.917e-19,0.0
0.0003548,131.8,9.394e-08,9.394e-08,2.004e-19,0.0
0.0003548,130.3,9.581e-08,9.581e-08,2.096e-19,0.0
0.0003548,128.8,9.772e-08,9.772e-08,2.192e-19,0.0
0.0003548,127.4,9.966e-08,9.966e-08,2.292e-19,0.0
0.0003548,125.9,1.016e-07,1.016e-07,2.397e-19,0.0
0.0003548,124.5,1.037e-07,1.037e-07,2.506e-19,0.0
0.0003548,123.0,1.057e-07,1.057e-07,2.621e-19,0.0
0.0003548,121.6,1.078e-07,1.078e-07,2.741e-19,0.0
0.0003548,120.2,1.099e-07,1.099e-07,2.866e-19,0.0
0.0003548,118.9,1.121e-07,1.121e-07,2.997e-19,0.0
0.0003548,117.5,1.143e-07,1.143e-07,3.133e-19,0.0
0.0003548,116.1,1.166e-07,1.166e-07,3.276e-19,0.0
0.0003548,114.8,1.189e-07,1.189e-07,3.426e-19,0.0
0.0003548,113.5,1.212e-07,1.212e-07,3.582e-19,0.0
0.0003548,112.2,1.236e-07,1.236e-07,3.745e-19,0.0
0.0003548,110.9,1.26e-07,1.26e-07,3.916e-19,0.0
0.0003548,109.6,1.285e-07,1.285e-07,4.094e-19,0.0
0.0003548,108.4,1.31e-07,1.31e-07,4.281e-19,0.0
0.0003548,107.2,1.336e-07,1.336e-07,4.476e-19,0.0
0.0003548,105.9,1.362e-07,1.362e-07,4.679e-19,0.0
0.0003548,104.7,1.388e-07,1.388e-07,4.892e-19,0.0
0.0003548,103.5,1.416e-07,1.416e-07,5.115e-19,0.0
0.0003548,102.3,1.443e-07,1.443e-07,5.348e-19,0.0
0.0003548,101.2,1.471e-07,1.471e-07,5.591e-19,0.0
0.0003548,100.0,1.5e-07,1.5e-07,5.845e-19,0.0
0.0003548,98.86,1.53e-07,1.53e-07,6.111e-19,0.0
0.0003548,97.72,1.559e-07,1.559e-07,6.389e-19,0.0
0.0003548,96.61,1.59e-07,1.59e-07,6.679e-19,0.0
0.0003548,95.5,1.621e-07,1.621e-07,6.983e-19,0.0
0.0003548,94.41,1.653e-07,1.653e-07,7.3e-19,0.0
0.0003548,93.33,1.685e-07,1.685e-07,7.631e-19,0.0
0.0003548,92.26,1.718e-07,1.718e-07,7.978e-19,0.0
0.0003548,91.2,1.751e-07,1.751e-07,8.34e-19,0.0
0.0003548,90.16,1.786e-07,1.786e-07,8.719e-19,0.0
0.0003548,89.13,1.821e-07,1.821e-07,9.115e-19,0.0
0.0003548,88.1,1.856e-07,1.856e-07,9.529e-19,0.0
0.0003548,87.1,1.893e-07,1.893e-07,9.962e-19,0.0
0.0003548,86.1,1.93e-07,1.93e-07,1.041e-18,0.0
0.0003548,85.11,1.968e-07,1.968e-07,1.089e-18,0.0
0.0003548,84.14,2.007e-07,2.007e-07,1.138e-18,0.0
0.0003548,83.18,2.047e-07,2.047e-07,1.19e-18,0.0
0.0003548,82.22,2.087e-07,2.087e-07,1.244e-18,0.0
0.0003548,81.28,2.129e-07,2.129e-07,1.3e-18,0.0
0.0003548,80.35,2.171e-07,2.171e-07,1.359e-18,0.0
0.0003548,79.43,2.215e-07,2.215e-07,1.421e-18,0.0
