# wavelength_obs(um)  flux_med(uJy)  flux_low(uJy)  flux_high(uJy)
4.655500e+01 3.320609e-05 2.745544e-04 8.510132e-07
5.273542e+01 6.531703e-04 4.069594e-03 2.658929e-05
5.891583e+01 6.463519e-03 3.220252e-02 3.792699e-04
6.509625e+01 3.936356e-02 1.636251e-01 3.106126e-03
7.127667e+01 1.681275e-01 6.016876e-01 1.694724e-02
7.745708e+01 5.500799e-01 1.735848e+00 6.811650e-02
8.363750e+01 1.466352e+00 4.156749e+00 2.163832e-01
8.981792e+01 3.329140e+00 8.603726e+00 5.714722e-01
9.599834e+01 6.651046e+00 1.585823e+01 1.302489e+00
1.021788e+02 1.198329e+01 2.661852e+01 2.634867e+00
1.083592e+02 1.984059e+01 4.139182e+01 4.833903e+00
1.145396e+02 3.063199e+01 6.042663e+01 8.178434e+00
1.207200e+02 4.461138e+01 8.369157e+01 1.293068e+01
1.269004e+02 6.185352e+01 1.108944e+02 1.930832e+01
1.330808e+02 8.225459e+01 1.415290e+02 2.746328e+01
1.392613e+02 1.055519e+02 1.749357e+02 3.746933e+01
1.454417e+02 1.313557e+02 2.103655e+02 4.931881e+01
1.516221e+02 1.591870e+02 2.470374e+02 6.292696e+01
1.578025e+02 1.885146e+02 2.841874e+02 7.814210e+01
1.639829e+02 2.187900e+02 3.211039e+02 9.475914e+01
1.701633e+02 2.494754e+02 3.571534e+02 1.125347e+02
1.763438e+02 2.800656e+02 3.917940e+02 1.312020e+02
1.825242e+02 3.101039e+02 4.245819e+02 1.504846e+02
1.887046e+02 3.391913e+02 4.551704e+02 1.701082e+02
1.948850e+02 3.669918e+02 4.833049e+02 1.898100e+02
2.010654e+02 3.932328e+02 5.088145e+02 2.093459e+02
2.072458e+02 4.177031e+02 5.316024e+02 2.284955e+02
2.134263e+02 4.402490e+02 5.516349e+02 2.470654e+02
2.196067e+02 4.607685e+02 5.689312e+02 2.648904e+02
2.257871e+02 4.792058e+02 5.835533e+02 2.818335e+02
2.319675e+02 4.955443e+02 5.955964e+02 2.977854e+02
2.381479e+02 5.098007e+02 6.051814e+02 3.126628e+02
2.443283e+02 5.220189e+02 6.124472e+02 3.264063e+02
2.505088e+02 5.322648e+02 6.175448e+02 3.389780e+02
2.566892e+02 5.406209e+02 6.206323e+02 3.503590e+02
2.628696e+02 5.471824e+02 6.218707e+02 3.605470e+02
2.690500e+02 5.520532e+02 6.214206e+02 3.695538e+02
2.752304e+02 5.553429e+02 6.194394e+02 3.774029e+02
2.814108e+02 5.571638e+02 6.160796e+02 3.841274e+02
2.875913e+02 5.576291e+02 6.114873e+02 3.897680e+02
2.937717e+02 5.568508e+02 6.058008e+02 3.943716e+02
2.999521e+02 5.549384e+02 5.991504e+02 3.979892e+02
3.061325e+02 5.519981e+02 5.916578e+02 4.006748e+02
3.123129e+02 5.481315e+02 5.834359e+02 4.024844e+02
3.184933e+02 5.434352e+02 5.745891e+02 4.034750e+02
3.246738e+02 5.380008e+02 5.652132e+02 4.037035e+02
3.308542e+02 5.319142e+02 5.553956e+02 4.032263e+02
3.370346e+02 5.252555e+02 5.452162e+02 4.020987e+02
3.432150e+02 5.180994e+02 5.347470e+02 4.003743e+02
3.493954e+02 5.105150e+02 5.240534e+02 3.981051e+02
3.555758e+02 5.025660e+02 5.131938e+02 3.953408e+02
3.617563e+02 4.943109e+02 5.022208e+02 3.921286e+02
3.679367e+02 4.858032e+02 4.911811e+02 3.885137e+02
3.741171e+02 4.770918e+02 4.801163e+02 3.845384e+02
3.802975e+02 4.682209e+02 4.690630e+02 3.802427e+02
3.864779e+02 4.592307e+02 4.580538e+02 3.756640e+02
3.926583e+02 4.501576e+02 4.471167e+02 3.708373e+02
3.988388e+02 4.410340e+02 4.362767e+02 3.657952e+02
4.050192e+02 4.318893e+02 4.255549e+02 3.605678e+02
4.111996e+02 4.227496e+02 4.149697e+02 3.551830e+02
4.173800e+02 4.136380e+02 4.045368e+02 3.496668e+02
4.235604e+02 4.045752e+02 3.942695e+02 3.440427e+02
4.297409e+02 3.955792e+02 3.841787e+02 3.383326e+02
4.359213e+02 3.866661e+02 3.742736e+02 3.325565e+02
4.421017e+02 3.778497e+02 3.645614e+02 3.267324e+02
4.482821e+02 3.691421e+02 3.550479e+02 3.208771e+02
4.544625e+02 3.605536e+02 3.457376e+02 3.150056e+02
4.606429e+02 3.520931e+02 3.366336e+02 3.091314e+02
4.668234e+02 3.437680e+02 3.277379e+02 3.032669e+02
4.730038e+02 3.355846e+02 3.190517e+02 2.974232e+02
4.791842e+02 3.275480e+02 3.105754e+02 2.916102e+02
4.853646e+02 3.196623e+02 3.023083e+02 2.858368e+02
4.915450e+02 3.119307e+02 2.942495e+02 2.801108e+02
4.977254e+02 3.043556e+02 2.863972e+02 2.744393e+02
5.039059e+02 2.969386e+02 2.787495e+02 2.688285e+02
5.100863e+02 2.896808e+02 2.713038e+02 2.632837e+02
5.162667e+02 2.825826e+02 2.640571e+02 2.578098e+02
5.224471e+02 2.756440e+02 2.570064e+02 2.524107e+02
